40

0 89 0 76 6 51 11 49 42 15 86 10 47 96 27 94 21 21 74 80 41 35 39 96 15 65 94 21 79 41 30 40 10 97 42 70 2 74 74 11
89 0 39 41 39 89 22 25 20 70 56 77 7 23 32 31 63 18 84 30 24 48 67 84 82 37 29 21 55 6 100 59 15 39 19 15 14 65 3 39
0 39 0 72 49 75 5 86 53 38 56 39 76 10 51 12 59 85 20 38 91 20 17 49 55 13 12 95 17 52 47 39 20 49 18 18 45 94 96 57
76 41 72 0 69 64 23 45 24 90 74 68 80 8 33 14 24 25 99 19 45 99 56 68 70 67 49 24 36 33 84 26 23 78 97 63 38 60 32 85
6 39 49 69 0 100 44 99 73 11 63 91 53 52 68 51 24 22 36 45 46 64 83 64 20 76 31 20 56 76 97 53 54 45 2 86 80 19 67 78
51 89 75 64 100 0 31 63 66 77 68 54 50 88 6 18 29 60 4 60 54 84 91 61 50 10 5 85 48 19 67 37 89 16 89 5 14 75 22 98
11 22 5 23 44 31 0 5 6 96 15 41 16 57 70 79 77 37 55 78 19 99 46 57 40 40 41 81 54 10 95 10 100 42 71 12 91 93 5 6
49 25 86 45 99 63 5 0 96 7 43 86 27 60 89 97 5 66 17 88 89 11 35 34 5 89 95 11 35 91 23 8 22 93 71 77 55 37 71 88
42 20 53 24 73 66 6 96 0 55 75 36 99 69 47 44 86 86 33 85 35 20 43 74 56 35 10 11 20 40 51 87 90 77 63 56 55 80 39 35
15 70 38 90 11 77 96 7 55 0 64 96 59 29 14 63 67 18 92 54 99 3 38 15 90 90 33 19 66 38 65 88 71 30 52 77 12 32 51 23
86 56 56 74 63 68 15 43 75 64 0 14 97 7 45 58 74 65 29 48 93 85 10 71 59 62 50 49 91 20 26 41 77 54 87 57 88 65 74 10
10 77 39 68 91 54 41 86 36 96 14 0 23 88 76 86 35 71 14 85 28 75 37 94 41 98 81 87 80 33 86 75 38 22 98 81 70 66 69 64
47 7 76 80 53 50 16 27 99 59 97 23 0 95 42 78 99 1 47 89 76 64 4 74 7 90 5 69 0 18 90 54 66 7 26 29 53 70 45 74
96 23 10 8 52 88 57 60 69 29 7 88 95 0 43 49 67 68 41 82 37 37 37 100 74 80 41 93 11 95 95 62 23 61 80 2 14 16 1 64
27 32 51 33 68 6 70 89 47 14 45 76 42 43 0 50 93 93 90 99 46 41 22 70 50 100 70 59 70 38 65 68 29 75 87 11 92 65 4 0
94 31 12 14 51 18 79 97 44 63 58 86 78 49 50 0 34 86 14 7 16 12 83 78 53 28 37 52 70 19 47 21 71 47 29 1 72 27 2 0
21 63 59 24 24 29 77 5 86 67 74 35 99 67 93 34 0 65 83 28 50 1 47 48 27 69 82 98 95 63 14 43 91 94 15 10 70 66 4 83
21 18 85 25 22 60 37 66 86 18 65 71 1 68 93 86 65 0 44 31 32 79 15 43 91 44 73 79 49 20 55 5 71 47 91 22 74 47 96 4
74 84 20 99 36 4 55 17 33 92 29 14 47 41 90 14 83 44 0 16 21 37 15 73 54 46 84 19 91 81 99 99 41 35 71 10 95 73 34 16
80 30 38 19 45 60 78 88 85 54 48 85 89 82 99 7 28 31 16 0 35 2 56 54 4 61 27 92 27 17 36 81 88 30 45 81 39 57 96 34
41 24 91 45 46 54 19 89 35 99 93 28 76 37 46 16 50 32 21 35 0 64 63 48 96 74 2 95 82 53 98 55 59 22 91 6 36 12 1 91
35 48 20 99 64 84 99 11 20 3 85 75 64 37 41 12 1 79 37 2 64 0 33 71 13 50 12 15 7 45 85 45 9 20 7 50 100 64 62 43
