20

0 73 66 45 35 46 7 57 15 92 28 15 59 72 16 13 22 99 3 67
73 0 80 18 84 55 65 76 28 2 27 65 1 31 55 18 12 75 41 17
66 80 0 2 71 93 70 59 32 27 73 69 24 94 71 28 71 62 73 53
45 18 2 0 93 93 33 65 75 57 56 80 41 3 67 20 64 75 18 77
35 84 71 93 0 90 34 98 0 3 22 13 25 8 6 65 27 65 48 78
46 55 93 93 90 0 1 80 41 56 39 81 14 90 49 76 42 62 91 27
7 65 70 33 34 1 0 16 78 35 5 5 29 32 60 99 96 40 13 50
57 76 59 65 98 80 16 0 4 67 23 37 12 3 2 39 65 78 9 66
15 28 32 75 0 41 78 4 0 66 65 52 43 65 25 10 58 47 78 97
92 2 27 57 3 56 35 67 66 0 4 49 88 6 64 74 6 84 40 76
28 27 73 56 22 39 5 23 65 4 0 74 20 82 75 4 15 98 90 76
15 65 69 80 13 81 5 37 52 49 74 0 4 16 66 43 75 36 60 5
59 1 24 41 25 14 29 12 43 88 20 4 0 15 36 98 89 35 67 86
72 31 94 3 8 90 32 3 65 6 82 16 15 0 10 73 7 14 2 80
16 55 71 67 6 49 60 2 25 64 75 66 36 10 0 81 64 10 1 72
13 18 28 20 65 76 99 39 10 74 4 43 98 73 81 0 51 59 70 35
22 12 71 64 27 42 96 65 58 6 15 75 89 7 64 51 0 64 1 90
99 75 62 75 65 62 40 78 47 84 98 36 35 14 10 59 64 0 85 53
3 41 73 18 48 91 13 9 78 40 90 60 67 2 1 70 1 85 0 3
67 17 53 77 78 27 50 66 97 76 76 5 86 80 72 35 90 53 3 0

0 43 24 34 40 22 10 51 20 40 68 55 46 35 37 47 39 52 32 51
43 0 47 26 34 21 53 11 23 39 56 76 11 29 58 6 34 73 76 71
24 47 0 58 64 26 33 55 31 43 71 31 56 59 13 50 63 28 29 26
34 26 58 0 8 33 27 34 27 52 69 89 28 3 71 29 9 86 51 85
40 34 64 8 0 39 31 42 33 58 76 95 36 6 78 37 2 92 57 91
22 21 26 33 39 0 32 29 6 19 46 57 30 33 39 25 37 53 54 52
10 53 33 27 31 32 0 61 30 49 78 64 55 25 47 56 29 61 26 60
51 11 55 34 42 29 61 0 32 28 46 65 21 37 55 5 42 62 84 73
20 23 31 27 33 6 30 32 0 25 48 62 26 28 45 27 32 59 52 58
40 39 43 52 58 19 49 28 25 0 28 37 49 52 43 32 56 50 72 62
68 56 71 69 76 46 78 46 48 28 0 63 67 70 71 50 74 79 101 90
55 76 31 89 95 57 64 65 62 37 63 0 87 90 18 70 94 16 38 27
46 11 56 28 36 30 55 21 26 49 67 87 0 31 69 17 37 83 78 82
35 29 59 3 6 33 25 37 28 52 70 90 31 0 72 32 6 86 52 85
37 58 13 71 78 39 47 55 45 43 71 18 69 72 0 52 76 14 29 19
47 6 50 29 37 25 56 5 27 32 50 70 17 32 52 0 38 66 79 69
39 34 63 9 2 37 29 42 32 56 74 94 37 6 76 38 0 90 56 89
52 73 28 86 92 53 61 62 59 50 79 16 83 86 14 66 90 0 35 11
32 76 29 51 57 54 26 84 52 72 101 38 78 52 29 79 56 35 0 33
51 71 26 85 91 52 60 73 58 62 90 27 82 85 19 69 89 11 33 0
