80

0 68 14 95 20 35 69 35 32 7 22 65 57 86 32 12 56 63 22 5 22 46 8 67 77 28 27 67 23 77 15 26 54 93 76 32 46 18 94 8 96 32 59 72 33 46 13 5 92 4 17 2 35 11 3 78 2 38 61 45 15 70 31 87 1 44 36 31 61 98 73 49 38 54 13 27 2 27 43 57
68 0 10 75 83 91 100 77 23 68 58 50 80 30 95 48 92 54 52 80 58 76 83 59 58 90 84 39 26 93 95 32 66 99 95 42 71 2 52 17 13 54 66 66 78 53 34 45 62 77 92 54 51 67 52 11 41 69 100 22 44 62 1 0 62 0 23 21 13 40 78 3 98 4 97 26 0 82 51 79
14 10 0 88 57 12 54 28 10 12 83 84 44 68 25 10 54 73 66 40 63 8 1 60 66 35 67 50 37 44 93 18 22 34 17 72 0 8 34 82 38 29 9 12 84 44 92 60 28 92 42 98 82 28 37 70 58 3 54 79 57 28 21 23 20 81 2 76 8 42 9 0 65 73 97 45 43 78 26 60
95 75 88 0 55 90 97 98 52 20 77 90 69 62 38 83 34 30 32 24 51 32 69 53 65 87 52 30 18 7 92 42 84 100 20 9 31 40 70 56 88 14 90 81 57 44 34 96 6 69 94 62 31 42 65 52 0 26 35 49 76 87 53 31 34 23 97 7 17 80 79 46 71 67 19 88 36 34 87 35
20 83 57 55 0 100 34 81 92 47 48 52 42 78 70 7 47 70 40 25 25 84 36 11 43 86 96 1 79 45 30 82 63 5 35 47 17 81 85 12 31 74 97 73 58 22 42 21 21 88 73 74 80 1 73 43 55 26 92 30 72 84 11 49 31 31 46 4 95 62 85 72 84 60 5 9 20 2 44 0
35 91 12 90 100 0 98 58 39 70 16 11 52 86 43 96 68 11 1 71 31 91 76 9 70 56 15 69 71 79 11 86 94 69 31 44 57 50 98 66 1 39 62 12 59 55 50 11 76 22 98 90 32 73 74 74 57 28 14 37 91 50 8 20 47 6 15 38 14 27 75 83 78 25 7 48 17 76 43 25
69 100 54 97 34 98 0 6 55 68 97 69 15 12 45 13 83 0 9 40 26 19 22 9 11 78 98 42 82 10 75 62 12 31 21 60 19 89 23 54 36 35 68 71 69 4 77 0 64 79 68 25 100 50 85 0 35 82 1 70 81 78 77 86 35 20 5 73 93 4 62 70 66 73 19 49 0 13 61 20
35 77 28 98 81 58 6 0 13 46 82 37 18 2 90 19 79 90 19 59 6 38 54 44 22 85 50 82 23 24 45 37 46 16 92 51 16 93 49 53 19 41 12 99 95 30 45 80 84 53 74 35 56 27 67 46 23 85 96 100 62 13 1 35 13 81 0 47 7 35 95 41 72 11 36 34 58 75 67 54
32 23 10 52 92 39 55 13 0 21 84 61 82 15 36 11 30 92 5 65 11 62 11 75 21 56 71 79 5 1 89 46 66 56 49 30 19 32 4 60 33 71 65 14 43 47 0 73 32 95 80 69 25 58 84 1 18 64 15 12 33 66 16 79 43 80 20 18 66 13 71 89 36 66 8 29 23 51 50 32
7 68 12 20 47 70 68 46 21 0 68 15 78 32 28 89 79 58 3 35 44 26 41 50 47 47 83 97 76 30 63 88 78 5 30 53 89 37 69 60 66 31 87 38 55 54 83 88 51 2 40 42 43 60 55 62 71 50 93 75 97 26 1 55 39 8 95 91 69 73 99 39 28 34 77 35 70 49 97 80
22 58 83 77 48 16 97 82 84 68 0 46 100 22 31 96 100 35 70 36 34 25 34 96 96 18 11 89 28 61 8 27 56 72 11 85 19 98 9 25 76 68 32 7 70 47 65 17 3 91 72 87 100 56 48 48 93 97 1 83 22 66 62 25 73 39 17 57 70 12 69 75 52 8 50 28 57 51 22 26
65 50 84 90 52 11 69 37 61 15 46 0 79 36 88 50 37 50 19 93 62 95 7 100 94 55 44 53 21 83 69 0 94 90 3 21 82 53 89 25 68 49 33 1 63 26 85 66 19 93 21 64 86 36 73 73 0 61 12 42 2 28 28 12 24 39 47 90 89 2 75 19 53 40 26 32 80 81 38 14
57 80 44 69 42 52 15 18 82 78 100 79 0 16 11 47 18 77 47 81 38 32 18 72 16 15 0 25 36 85 97 55 77 64 99 41 39 87 50 9 48 69 23 10 88 5 18 84 25 72 64 28 14 49 0 95 80 32 88 86 97 24 91 74 7 9 82 26 93 97 68 88 83 41 40 97 9 82 6 44
86 30 68 62 78 86 12 2 15 32 22 36 16 0 74 37 82 46 56 26 61 43 26 99 100 84 91 77 62 50 40 33 24 98 10 91 97 65 28 22 24 4 40 12 92 31 99 91 11 16 7 6 80 3 88 50 88 52 53 73 63 3 3 18 91 8 29 35 68 73 51 67 3 47 71 58 59 38 28 100
32 95 25 38 70 43 45 90 36 28 31 88 11 74 0 11 41 7 21 31 24 62 51 46 64 91 32 41 28 88 50 47 43 18 48 29 96 43 77 7 95 98 52 50 62 21 61 79 43 48 53 92 34 72 44 40 49 98 14 81 7 12 71 44 56 72 27 47 59 42 55 89 24 94 72 88 87 30 61 48
12 48 10 83 7 96 13 19 11 89 96 50 47 37 11 0 55 33 80 65 15 51 43 48 50 87 80 26 82 1 38 37 64 56 84 22 41 3 63 58 63 53 19 70 78 70 41 69 97 91 78 94 24 94 18 11 13 51 17 22 34 24 67 66 58 46 48 4 88 95 24 90 56 77 65 1 28 1 4 45
56 92 54 34 47 68 83 79 30 79 100 37 18 82 41 55 0 91 70 54 95 44 87 97 97 92 21 74 5 52 55 66 28 39 69 25 90 26 74 35 39 93 40 58 26 62 64 48 58 35 61 52 16 20 64 16 87 62 56 46 3 21 28 56 11 69 30 92 47 19 2 21 85 7 25 64 82 22 25 20
63 54 73 30 70 11 0 90 92 58 35 50 77 46 7 33 91 0 62 13 87 99 27 29 20 84 50 60 86 83 79 89 24 24 72 45 31 54 64 42 77 53 43 2 55 12 66 34 29 37 80 54 98 22 56 55 19 78 39 30 82 24 9 82 59 81 7 75 9 78 38 29 82 23 67 25 56 14 12 88
22 52 66 32 40 1 9 19 5 3 70 19 47 56 21 80 70 62 0 74 43 54 65 34 30 77 87 64 24 56 15 33 78 77 88 13 25 18 33 11 60 59 83 8 71 96 95 61 26 71 53 52 18 48 98 46 45 35 61 96 45 81 6 41 33 76 40 6 9 61 78 24 20 11 89 28 14 45 40 97
