180

0 12 82 76 41 45 10 80 95 4 66 97 71 94 26 93 40 89 91 58 39 86 71 32 27 57 0 26 49 16 57 78 53 21 8 64 37 39 56 61 3 5 47 32 11 13 78 8 34 43 31 97 76 87 17 64 61 64 6 72 1 13 62 68 29 62 8 58 33 30 21 63 63 65 59 82 76 28 25 49 36 56 99 32 83 2 22 55 3 3 46 45 49 26 9 91 15 29 60 36 26 86 73 59 53 33 15 97 32 98 78 13 95 96 11 95 91 33 70 5 26 14 31 100 47 11 62 45 41 24 78 2 98 71 16 99 90 36 25 68 88 50 74 61 99 73 36 14 84 53 89 66 99 51 92 56 53 38 95 3 17 30 5 11 34 50 94 49 63 84 19 10 41 61 72 74 47 63 94 87
12 0 0 58 9 93 54 33 5 36 31 18 72 10 29 83 42 74 11 66 19 63 48 91 11 31 75 9 48 69 20 18 60 11 24 91 97 100 28 45 51 67 9 21 76 18 39 55 70 10 58 5 46 5 67 30 57 94 14 3 74 14 18 95 4 42 55 98 22 16 97 86 47 57 74 38 43 78 28 85 87 97 91 53 82 57 7 15 61 20 83 19 46 97 21 32 11 9 8 71 46 84 63 72 5 89 98 3 14 38 7 78 7 48 93 2 92 79 61 60 35 55 77 27 96 11 68 31 61 63 57 25 99 98 24 81 3 9 58 29 46 41 96 36 0 52 73 10 85 62 27 83 21 12 48 98 31 38 92 77 21 92 9 75 88 41 41 6 80 37 86 74 19 42 90 86 95 81 61 98
82 0 0 75 78 56 10 92 41 14 47 6 27 49 88 53 33 100 29 48 76 95 42 83 29 66 45 68 20 87 39 30 28 67 8 87 66 57 71 47 63 10 11 38 59 61 28 16 76 43 51 75 71 7 4 97 14 42 70 70 87 61 1 82 28 94 15 45 26 21 45 12 47 30 84 42 15 62 57 4 21 60 26 81 53 36 14 96 52 9 66 5 65 23 65 63 43 76 22 74 76 17 64 23 74 44 26 41 75 87 12 76 32 7 2 64 63 3 64 83 18 25 46 28 23 15 4 17 67 77 60 86 35 58 46 36 63 7 47 96 21 6 84 64 28 91 15 14 24 80 34 27 71 86 14 52 96 28 49 37 73 14 21 8 34 39 21 48 87 51 93 2 98 76 2 8 29 65 44 44
76 58 75 0 8 38 45 11 67 50 6 60 100 58 8 82 81 51 15 20 16 89 79 60 26 97 63 38 4 56 83 91 82 76 82 16 28 37 56 55 56 60 54 80 2 31 78 21 2 67 10 42 22 29 17 25 17 100 31 26 38 67 80 86 84 86 20 65 97 52 90 76 4 60 40 9 0 12 8 60 66 83 28 40 55 74 17 84 96 1 8 74 74 61 42 95 0 23 27 5 15 71 67 73 97 86 48 57 66 59 20 68 92 70 44 33 70 99 45 91 44 43 46 92 15 85 89 91 14 12 72 62 87 96 19 12 77 27 88 39 87 88 38 81 59 82 15 86 28 94 89 29 23 96 48 54 44 47 88 95 74 63 23 85 2 64 98 76 54 12 14 7 64 38 64 69 19 98 100 7
41 9 78 8 0 55 70 71 17 13 17 10 63 99 74 35 79 75 27 8 49 26 26 40 100 84 66 84 75 62 52 20 9 63 37 72 98 75 92 79 57 91 12 9 86 17 38 78 37 74 56 34 66 27 64 82 1 18 81 41 84 87 84 16 54 50 22 2 84 13 32 27 94 2 31 32 74 84 2 49 57 34 31 99 9 49 87 28 33 38 44 97 49 100 43 21 5 49 26 32 25 3 5 68 4 99 16 32 3 58 21 73 76 69 61 46 99 42 46 58 21 17 63 13 53 35 35 87 44 71 92 56 50 32 84 15 1 65 53 3 64 94 75 57 44 48 14 57 85 17 1 90 53 8 87 81 44 29 85 63 0 97 89 42 78 68 31 30 28 33 94 69 48 46 74 25 57 82 27 87
45 93 56 38 55 0 100 13 17 11 49 30 40 53 85 80 50 58 90 34 88 19 89 69 1 56 89 90 43 92 26 13 71 87 91 58 23 39 30 48 58 40 90 4 81 36 16 47 14 93 65 34 8 67 10 70 18 1 68 84 50 70 11 48 31 60 69 56 85 0 44 80 83 14 86 42 23 87 89 91 43 100 68 40 87 72 63 30 82 42 45 31 94 81 8 84 52 64 14 77 47 35 63 22 33 65 84 82 25 78 64 57 51 65 35 3 91 66 9 20 66 68 87 10 12 58 19 2 85 43 8 55 59 72 25 36 82 25 25 21 12 90 98 54 0 73 8 26 91 29 30 38 41 10 0 58 38 80 70 20 80 25 67 94 26 22 70 78 88 14 35 86 25 34 60 16 48 56 100 80
10 54 10 45 70 100 0 68 6 67 91 76 93 15 74 77 47 87 70 61 30 74 57 16 66 83 38 31 52 71 84 98 86 90 50 46 65 87 53 55 17 94 1 5 5 65 4 25 43 16 45 91 40 60 0 79 91 57 38 52 56 12 84 87 0 64 97 45 40 22 36 15 59 76 41 13 22 63 73 33 12 24 82 52 71 5 100 30 66 35 69 12 52 93 2 87 72 66 1 3 68 29 57 100 35 7 98 9 7 97 21 55 38 2 57 53 39 79 33 27 29 80 80 63 12 38 79 72 31 57 80 24 88 33 64 61 58 72 87 39 41 40 98 53 91 27 65 93 40 84 19 20 2 14 15 72 24 35 39 37 19 19 17 57 74 24 58 26 66 94 67 99 90 4 6 94 82 93 58 66
80 33 92 11 71 13 68 0 34 83 16 78 92 83 9 47 95 20 60 25 56 60 89 44 57 98 12 94 7 34 97 4 55 87 80 17 97 53 71 67 44 90 8 20 50 77 5 26 75 73 84 68 39 12 39 52 65 77 87 4 5 0 59 11 68 79 64 24 33 68 42 46 44 20 14 25 63 61 87 41 95 58 25 86 2 73 80 76 18 33 58 30 17 94 98 32 41 66 18 5 25 39 54 2 29 8 75 72 48 32 60 86 22 63 45 27 94 52 95 35 44 44 98 23 57 70 55 25 82 73 42 83 88 83 17 83 26 22 74 35 84 8 29 58 99 5 55 59 48 22 58 23 35 93 22 94 94 22 16 3 3 99 9 39 63 96 89 80 94 67 12 67 11 95 78 84 28 5 76 85
95 5 41 67 17 17 6 34 0 100 74 43 13 94 71 88 86 10 53 64 34 78 25 96 82 92 57 57 51 49 37 90 48 52 63 13 53 69 79 40 53 31 20 65 72 67 50 43 59 8 23 69 84 25 57 19 76 67 44 39 41 54 8 36 57 64 45 25 10 56 82 4 8 28 59 69 8 0 26 88 62 55 32 26 11 50 99 83 62 48 79 71 22 89 52 24 92 35 47 41 31 69 29 55 48 33 40 85 99 39 15 74 19 78 63 88 73 85 98 75 33 37 36 86 99 33 6 90 66 18 42 62 42 65 100 50 49 94 77 33 100 55 64 24 5 16 82 88 97 65 63 65 32 35 66 75 83 64 51 1 4 9 95 62 14 97 98 22 23 73 54 65 77 0 70 86 62 17 7 100
4 36 14 50 13 11 67 83 100 0 49 97 66 53 69 11 90 81 84 79 95 57 4 21 23 88 0 8 18 35 87 17 25 35 86 7 89 78 94 74 52 6 5 39 24 79 82 31 42 69 6 66 61 20 91 5 54 88 68 13 83 33 30 71 76 100 11 83 41 33 0 32 57 90 63 34 8 81 34 82 98 81 63 22 59 87 7 69 69 48 73 96 66 1 81 12 26 30 87 20 46 13 40 46 99 72 47 0 91 21 85 77 83 20 83 92 11 1 80 46 24 60 68 87 5 3 55 87 32 46 51 87 28 15 86 3 65 1 37 15 88 62 9 9 88 45 31 67 72 6 16 88 34 41 52 93 64 99 29 12 88 20 43 8 76 9 65 30 57 27 32 13 59 1 83 69 46 12 45 28
