160

0 80 89 76 24 48 92 61 63 88 93 95 77 95 7 6 9 36 4 47 29 26 81 54 62 26 22 83 2 97 28 75 30 78 12 16 62 19 29 34 88 97 99 71 26 26 73 2 13 66 3 79 71 93 56 65 93 78 5 4 78 9 70 97 52 78 28 65 79 86 80 3 43 25 94 33 18 0 12 12 49 59 41 34 27 86 46 87 80 3 6 70 36 87 88 73 89 59 57 74 0 87 28 11 82 28 74 51 89 61 68 86 72 96 46 25 6 37 47 92 36 16 28 82 100 56 24 55 17 42 51 37 20 13 63 87 27 48 55 84 60 41 42 26 73 25 53 78 61 18 94 63 44 38 75 45 42 20 25 4
80 0 49 79 60 70 24 16 49 47 51 49 53 39 33 99 90 55 16 0 68 36 90 39 37 77 9 58 90 47 88 95 54 47 72 34 57 74 14 57 32 57 2 55 75 50 40 12 64 48 22 93 83 100 47 24 97 86 18 7 36 40 61 67 85 1 2 52 76 76 66 67 90 11 56 35 77 5 33 85 69 37 97 6 20 98 21 88 7 27 93 66 0 66 31 7 10 95 26 9 55 57 88 43 75 7 29 96 16 15 97 60 33 96 16 84 14 67 71 58 79 12 58 41 22 80 66 81 76 31 57 31 30 79 58 25 66 28 48 78 80 30 75 68 63 96 9 93 39 67 23 35 89 62 87 46 22 88 7 10
89 49 0 69 30 94 20 89 41 58 18 13 21 35 39 15 16 15 39 8 26 44 13 1 85 88 4 58 71 59 45 56 76 32 13 59 15 20 74 96 71 11 46 31 57 49 13 7 79 87 82 44 31 15 6 51 0 29 45 31 66 76 27 73 34 25 7 89 20 15 28 74 35 58 27 98 0 31 0 4 69 70 54 90 13 59 53 43 70 63 20 83 27 26 59 99 83 2 86 46 86 99 4 50 59 24 36 43 28 62 92 71 23 74 76 21 52 91 12 53 26 38 60 83 19 6 47 41 79 4 82 34 77 22 62 73 61 60 58 45 9 37 50 63 95 76 41 66 48 8 81 100 23 51 90 85 35 48 49 58
76 79 69 0 42 13 93 90 49 26 18 51 17 80 58 24 2 49 76 85 33 22 22 45 71 96 52 81 28 81 40 88 24 56 33 9 77 22 30 46 8 29 2 78 74 71 54 70 70 5 82 42 17 10 94 55 25 80 92 32 82 29 99 64 33 95 88 51 34 69 40 92 27 88 38 50 75 40 24 51 62 49 40 74 40 18 6 85 92 75 75 98 25 77 84 31 7 12 59 85 20 22 16 27 57 56 62 62 20 35 66 36 98 97 6 91 34 77 81 48 94 52 47 39 34 90 30 19 16 94 31 88 37 65 65 78 87 86 97 52 36 30 31 12 69 35 100 75 46 88 19 55 22 21 28 2 65 79 83 14
24 60 30 42 0 12 100 16 72 98 25 13 2 65 46 25 100 85 92 87 60 97 8 99 83 79 71 76 90 38 59 20 46 11 74 96 29 82 96 19 0 84 51 62 23 34 76 77 60 76 12 57 91 22 40 16 66 69 34 56 78 43 71 80 31 100 96 97 83 71 97 53 60 29 39 28 28 2 73 35 53 90 88 91 49 1 56 22 93 57 39 76 71 74 72 41 49 38 23 45 27 26 25 10 72 93 74 63 54 28 57 61 37 21 28 63 84 53 92 68 89 33 6 41 21 59 38 56 96 74 53 7 62 55 68 40 55 73 17 35 37 45 3 16 31 76 63 88 46 70 4 64 29 82 13 0 88 97 21 89
48 70 94 13 12 0 58 64 78 28 40 37 88 12 46 6 3 96 35 4 26 11 68 1 64 36 77 88 64 4 56 78 87 80 52 50 48 65 96 88 88 63 84 23 32 99 43 70 23 73 97 49 28 77 58 90 88 2 41 6 7 55 61 42 98 81 46 41 23 87 18 85 37 86 88 32 70 26 58 94 93 2 92 32 41 48 58 41 30 82 28 25 66 50 91 46 58 50 91 81 95 67 46 88 77 68 60 83 20 19 4 31 45 7 21 39 68 47 64 41 45 27 85 24 51 45 28 75 18 60 86 57 30 35 87 75 53 49 79 69 85 12 72 13 72 99 25 8 99 99 24 2 74 39 1 0 92 83 21 50
92 24 20 93 100 58 0 99 89 56 96 42 68 37 94 47 56 35 65 84 83 31 58 25 18 11 63 5 3 9 40 82 60 42 51 62 54 60 19 92 80 100 67 56 20 70 69 3 21 64 100 81 17 23 28 85 26 37 48 76 86 15 26 26 55 5 17 53 51 72 31 38 55 56 97 56 72 8 46 97 18 75 26 29 7 98 53 2 80 13 35 81 57 39 100 10 33 67 98 63 72 44 30 58 38 4 23 58 64 37 7 54 90 17 28 51 41 87 90 22 79 100 0 3 56 78 42 80 26 86 53 68 3 100 51 84 70 75 16 93 47 89 16 24 41 96 62 65 45 51 37 55 41 95 96 68 66 98 66 21
61 16 89 90 16 64 99 0 15 6 72 31 27 36 81 38 38 47 37 14 73 66 42 69 64 21 84 37 19 81 58 76 97 69 37 92 79 21 29 47 79 79 58 24 45 35 77 85 9 30 52 83 5 88 75 95 37 69 82 84 25 45 23 12 36 38 80 44 5 27 56 67 2 70 68 24 88 96 49 31 17 88 54 47 23 28 43 49 65 57 48 29 0 63 65 83 70 0 32 71 71 70 61 32 92 3 17 90 77 87 100 59 74 7 74 35 92 20 40 13 30 91 45 60 57 26 62 95 44 18 9 67 84 36 67 34 63 21 51 2 41 96 74 8 89 30 31 97 24 19 25 75 45 58 97 50 7 7 4 77
63 49 41 49 72 78 89 15 0 71 18 55 62 84 41 70 70 18 52 20 17 22 3 41 73 31 18 2 81 77 18 36 76 62 4 11 43 43 16 45 13 2 62 4 32 56 19 80 82 60 81 91 5 66 87 75 59 75 5 93 97 33 43 92 59 25 73 3 54 23 87 92 72 56 49 73 39 33 6 99 99 90 76 12 49 84 11 67 25 26 3 30 49 9 29 89 18 23 24 56 21 27 23 53 78 61 56 21 57 68 37 39 41 18 49 44 7 26 58 46 75 10 88 26 97 73 30 12 83 34 60 75 56 16 35 1 75 71 79 13 41 81 15 56 22 27 56 80 89 87 74 52 26 100 100 66 77 12 74 42
88 47 58 26 98 28 56 6 71 0 35 7 91 30 44 22 42 41 31 77 49 95 98 67 68 49 83 54 80 79 21 6 17 86 28 22 100 90 30 95 9 55 0 40 35 20 70 36 50 87 79 44 94 81 89 16 58 66 66 69 51 47 49 100 87 25 18 39 25 37 56 100 78 45 73 10 85 85 97 86 34 67 25 23 7 36 1 43 32 24 37 68 24 92 44 58 88 69 88 37 64 2 17 98 24 53 6 87 15 77 86 39 92 86 17 53 0 92 94 61 19 18 25 60 52 26 79 5 7 71 32 39 63 54 94 81 28 21 1 46 65 34 93 17 2 54 78 42 9 48 82 7 38 25 76 71 68 74 21 93
