300

0 77 62 71 9 29 98 7 28 54 77 63 68 74 44 90 44 85 47 70 48 72 45 44 15 77 31 12 38 0 73 35 95 67 14 17 89 63 56 36 19 4 13 85 83 3 0 49 49 13 18 1 79 90 81 70 7 63 15 65 32 53 42 74 95 97 33 1 49 71 98 95 93 2 10 51 90 4 61 89 74 48 36 48 98 99 100 58 73 35 57 1 28 14 34 20 45 58 80 24 52 37 56 65 35 22 82 94 46 94 29 85 95 4 62 37 85 39 85 40 27 6 100 9 96 98 92 35 78 26 89 59 53 12 39 36 23 55 44 47 11 52 34 89 66 38 24 69 28 91 92 54 75 16 76 27 34 31 61 50 55 80 92 54 68 1 48 65 63 76 82 80 65 99 14 17 80 67 61 33 86 93 95 35 13 19 22 0 66 9 84 53 40 78 98 13 43 18 23 45 36 80 76 11 77 18 70 82 22 24 47 95 100 21 38 87 80 4 1 21 86 11 0 91 74 48 96 54 77 85 81 84 0 72 21 17 97 69 32 99 64 79 4 83 12 84 51 37 61 29 98 52 89 64 23 21 84 29 48 8 19 49 53 46 61 10 4 77 51 61 92 24 98 54 41 57 67 30 50 87 12 36 11 75 69 22 52 83 3 16 93 71 85 55 80 19 94 42 11 65
77 0 15 100 76 49 45 35 19 84 88 61 65 72 14 51 26 96 72 1 48 8 30 14 62 55 13 90 19 70 56 8 9 15 9 94 2 40 46 73 95 50 26 11 28 83 40 96 49 61 95 79 55 36 20 85 72 25 77 13 28 90 70 91 55 64 8 29 49 14 63 41 29 93 76 32 95 16 6 0 47 100 57 9 88 41 0 91 21 85 35 13 81 89 60 60 49 45 71 41 96 39 70 39 99 5 35 25 26 32 68 98 83 20 69 10 65 76 99 6 53 95 44 80 24 73 91 10 94 81 62 95 9 12 31 38 53 30 12 55 67 41 77 43 69 61 48 16 72 69 67 49 35 9 82 64 99 64 19 6 83 53 16 1 57 45 90 90 89 8 47 59 39 11 89 45 10 75 79 2 30 39 49 9 62 49 26 47 65 10 0 91 24 16 49 18 20 23 8 68 43 6 12 60 70 59 87 39 23 54 13 68 90 11 66 0 48 10 8 0 39 30 59 96 49 24 21 61 43 10 96 3 96 88 79 92 34 96 35 3 44 90 64 98 86 64 54 20 16 36 63 64 9 10 72 14 72 29 23 92 16 1 94 85 16 34 51 33 51 92 64 31 9 91 93 44 16 18 2 67 60 91 14 53 81 55 1 19 27 51 60 98 19 8 22 45 5 76 38 47
62 15 0 24 51 71 13 60 37 27 56 99 69 8 4 1 49 69 67 32 12 35 63 39 20 20 48 61 78 16 38 35 51 52 9 51 100 79 36 42 10 88 61 86 100 76 6 74 12 54 60 18 7 75 80 8 11 33 34 100 49 43 100 56 19 5 49 67 40 78 80 83 19 40 32 42 23 21 84 6 85 79 78 40 98 92 98 40 72 81 2 66 20 6 100 99 75 74 85 96 69 8 6 12 46 98 41 50 99 80 55 63 7 24 12 36 75 33 46 39 24 32 51 49 98 98 30 52 87 99 81 6 35 14 53 91 49 97 72 12 42 21 88 85 30 37 4 17 5 44 13 0 98 36 12 24 58 7 59 40 12 42 14 4 3 60 81 78 58 84 48 22 28 82 31 80 89 22 9 22 32 93 65 48 97 14 52 15 56 35 45 31 68 95 40 13 99 89 0 26 56 43 53 67 65 72 35 55 71 34 39 85 45 62 100 7 94 6 64 0 90 35 9 100 91 71 44 20 17 12 13 67 64 53 67 59 23 70 4 61 16 53 21 80 22 39 51 64 84 92 22 49 2 71 4 91 43 21 13 58 39 49 23 98 28 78 87 39 94 19 15 46 8 54 39 69 4 0 92 11 45 69 98 93 11 91 67 98 17 66 45 53 18 82 67 80 64 24 78 16
71 100 24 0 53 61 26 95 10 28 26 55 37 24 24 85 46 0 97 55 98 35 90 7 26 98 52 13 89 75 70 25 31 23 17 62 69 13 2 53 25 43 32 8 9 81 97 18 28 44 16 29 87 74 36 28 68 79 88 61 37 87 83 53 25 76 56 75 1 22 33 68 32 53 89 44 40 23 84 34 94 21 24 50 7 89 82 82 82 90 88 61 15 39 90 70 6 21 56 29 76 30 99 88 91 95 84 45 91 97 14 53 40 78 12 4 76 71 63 11 100 35 0 65 13 66 25 58 76 28 48 1 90 99 22 49 5 14 38 17 54 7 56 30 68 29 33 91 93 44 75 27 83 32 42 10 98 60 14 1 42 46 60 70 10 87 1 93 82 72 12 30 75 47 64 33 65 17 71 6 2 35 51 60 43 43 31 69 14 44 98 16 52 5 39 78 22 15 15 36 55 97 59 62 41 35 24 23 98 51 12 85 13 100 50 35 35 25 16 28 37 31 57 41 98 13 30 41 61 34 60 39 61 23 41 0 40 29 61 87 38 83 27 98 2 78 56 68 5 74 8 75 63 49 7 17 41 7 42 52 53 65 6 42 77 85 24 6 44 21 63 27 47 39 94 37 96 39 84 61 11 34 0 18 63 5 20 15 73 50 46 46 6 36 20 46 78 28 10 88
9 76 51 53 0 48 35 89 45 43 71 76 53 40 43 43 63 99 12 85 59 48 82 73 92 13 38 78 86 71 89 35 11 64 36 75 100 58 98 19 1 51 72 42 65 7 50 6 4 18 24 45 35 10 31 48 28 62 7 23 57 69 82 51 31 69 55 39 3 80 88 61 88 63 100 39 74 34 48 59 59 73 69 79 56 67 40 2 66 74 37 44 26 99 47 33 19 89 78 34 96 83 9 68 41 68 9 30 38 52 98 58 82 84 85 59 13 5 6 0 76 66 41 90 0 62 18 2 83 24 53 42 26 16 14 6 67 44 29 54 73 17 86 21 28 29 90 39 100 33 46 13 73 64 41 31 6 7 72 85 46 95 88 95 79 22 10 87 73 36 86 13 94 27 38 63 60 8 10 50 73 100 38 90 70 25 31 63 5 41 50 25 23 28 17 15 93 3 66 56 69 26 26 25 33 54 5 70 72 78 76 54 14 19 32 41 79 39 67 78 37 48 31 6 27 94 5 42 22 64 30 79 89 69 27 61 81 48 80 75 9 93 10 19 36 29 25 31 8 93 7 89 57 75 95 54 3 90 4 20 4 30 79 13 100 50 16 65 74 56 30 46 2 98 81 42 53 50 46 96 95 19 13 80 11 91 19 16 41 13 56 31 62 72 99 92 52 75 4 96
29 49 71 61 48 0 87 88 36 24 30 17 34 75 28 57 59 43 2 18 37 14 2 50 55 28 86 15 98 96 17 94 95 20 3 79 9 95 62 67 15 50 82 39 83 26 4 11 8 46 87 20 88 91 46 3 13 1 63 15 75 43 2 24 50 53 49 28 92 78 27 68 7 38 86 23 43 36 52 87 20 96 52 48 30 42 22 14 8 98 52 5 88 0 57 30 39 43 93 32 16 6 38 87 89 39 26 22 100 25 31 87 99 93 79 96 47 25 38 56 25 37 64 63 73 72 64 89 61 35 62 29 39 8 84 73 31 96 12 70 76 88 98 55 38 56 53 82 84 91 98 16 68 49 66 90 67 24 21 84 60 97 19 41 54 14 87 27 72 51 93 35 90 8 50 93 59 90 16 95 55 36 15 4 28 9 89 47 64 99 54 28 31 79 13 74 99 6 53 62 99 77 23 53 55 52 81 20 53 4 3 30 15 47 80 70 23 37 41 39 42 11 52 9 1 38 83 53 10 73 85 84 8 84 49 71 37 15 92 33 87 29 8 100 46 37 72 64 69 62 72 33 27 18 37 93 6 46 55 87 21 16 33 37 22 28 6 96 74 47 48 14 23 82 1 51 99 67 4 92 32 95 86 55 4 79 40 25 63 97 56 76 72 85 29 15 63 53 92 25
98 45 13 26 35 87 0 90 63 97 74 96 67 12 48 90 6 34 100 73 61 72 13 33 27 67 89 10 87 17 78 20 78 14 98 58 14 60 26 42 78 15 49 15 22 47 62 81 77 43 49 14 75 89 51 63 56 66 6 80 69 71 100 95 40 66 31 33 27 9 88 88 40 11 31 45 97 56 96 77 62 96 39 54 6 58 90 40 43 75 59 88 34 8 21 74 39 93 85 63 27 6 27 15 96 59 3 42 98 30 69 72 79 96 42 54 85 19 95 54 17 41 88 53 6 80 67 98 77 68 7 24 96 70 85 50 33 65 8 37 12 95 20 91 8 95 66 95 45 2 91 2 52 23 53 28 0 54 74 24 94 34 6 73 41 90 21 67 11 68 98 39 77 97 56 8 89 34 87 66 23 69 29 99 98 98 55 84 99 40 47 60 28 33 82 1 30 83 57 14 0 100 97 18 96 55 22 84 38 57 10 70 63 87 5 19 60 73 73 19 78 43 88 36 14 75 20 20 91 42 4 68 50 34 18 12 66 24 5 95 62 14 39 69 91 37 53 91 14 43 98 83 3 15 66 0 71 0 58 59 93 77 26 45 13 38 72 67 5 15 89 40 69 66 65 82 39 31 38 92 5 6 54 49 100 18 49 100 0 88 82 79 88 60 20 5 28 64 26 89
7 35 60 95 89 88 90 0 51 31 47 83 60 97 73 85 13 85 5 81 23 13 63 14 72 25 93 81 98 9 85 66 84 4 40 41 18 25 39 32 98 100 34 3 70 0 30 99 11 5 91 28 23 65 53 4 55 60 12 82 26 24 69 67 43 66 24 78 52 70 100 22 54 37 1 41 26 80 36 14 56 90 76 23 75 100 14 0 44 90 81 65 21 52 59 35 75 80 7 29 73 94 9 40 9 13 36 40 58 7 54 13 87 30 30 30 94 12 49 10 35 95 20 13 13 70 44 93 54 6 6 28 60 61 0 45 78 67 76 93 31 14 37 8 2 88 7 97 58 36 45 16 31 56 44 34 76 18 37 86 91 65 60 31 71 0 66 87 44 73 59 19 0 19 61 1 79 40 62 75 31 71 47 92 58 86 31 33 23 78 93 7 89 89 19 14 15 67 93 30 17 8 23 75 57 37 58 67 80 77 97 28 38 4 31 30 6 80 4 7 22 35 100 96 57 78 89 42 83 35 63 10 85 95 30 50 81 66 73 11 59 75 19 61 30 96 79 34 56 92 90 83 0 62 14 66 87 72 39 72 49 98 29 39 32 97 2 1 79 46 77 20 4 36 86 81 91 24 72 8 56 9 82 72 62 43 85 41 23 69 57 93 16 6 87 23 46 43 70 96
28 19 37 10 45 36 63 51 0 50 84 40 82 51 38 4 76 69 94 67 75 33 26 51 31 68 80 9 2 39 23 32 77 4 34 57 96 59 51 86 1 77 62 81 93 42 23 77 25 18 58 22 31 100 3 96 4 5 23 72 17 29 95 72 59 10 75 93 17 55 71 4 2 65 77 35 44 76 16 10 35 10 66 12 93 77 64 10 91 25 75 23 57 48 42 19 88 52 65 87 39 9 99 81 84 55 79 88 94 19 53 39 35 2 100 53 26 42 74 20 41 32 10 92 89 69 61 10 74 59 40 70 20 97 55 41 52 77 66 37 44 53 8 80 51 10 3 97 62 40 75 63 34 37 52 11 46 37 1 100 75 38 47 37 79 62 42 25 5 67 2 90 64 39 60 81 16 45 49 49 78 71 29 60 43 88 28 77 80 12 84 16 93 62 9 56 26 60 2 73 48 57 23 9 66 38 8 16 10 71 44 32 88 69 83 20 54 64 5 70 64 76 33 12 23 94 58 53 16 39 70 0 56 52 46 96 24 100 45 34 3 37 46 34 95 3 31 97 88 89 37 42 48 32 11 43 24 85 100 95 92 90 82 60 34 98 11 13 43 79 15 21 76 92 45 82 25 90 100 78 97 13 40 2 99 71 40 24 91 77 19 38 8 13 85 36 33 33 77 13
54 84 27 28 43 24 97 31 50 0 6 35 58 65 46 84 2 49 8 42 69 40 97 48 26 18 59 1 58 26 54 79 31 79 13 46 61 71 72 83 40 9 10 98 37 7 65 18 6 95 19 82 60 13 26 98 27 14 9 27 69 36 12 23 33 52 25 75 37 55 24 45 68 70 99 13 61 24 43 45 0 98 4 92 98 91 37 34 45 30 79 8 34 38 51 11 26 62 47 75 58 70 74 71 100 23 27 56 97 39 85 90 62 10 98 84 76 25 27 9 66 51 64 61 80 85 32 33 17 85 62 65 39 92 4 65 96 15 12 53 97 84 31 42 77 60 73 95 61 50 87 38 39 81 65 83 8 95 74 70 53 35 52 83 91 90 7 10 84 79 33 74 50 74 24 21 79 34 48 79 80 79 72 43 75 96 67 53 19 49 0 41 9 38 77 15 12 1 11 20 76 72 58 30 26 70 84 58 37 30 67 69 89 39 38 44 82 42 25 29 93 52 95 30 53 70 96 97 64 67 33 95 2 2 23 56 91 74 79 85 87 7 28 30 5 92 54 21 42 68 34 61 64 50 6 62 31 23 74 59 61 62 89 53 47 2 32 20 96 95 84 34 91 89 39 85 63 42 74 62 22 38 17 19 1 41 96 77 11 53 90 59 26 2 100 14 28 96 21 20
