80

0 68 73 84 79 10 9 16 66 86 97 47 18 7 50 67 7 56 81 12 16 79 93 28 90 53 36 82 70 50 22 7 7 24 78 66 15 42 96 24 45 66 83 22 54 34 20 32 96 70 14 77 7 45 82 51 94 95 54 71 5 64 56 96 64 33 1 71 12 88 61 60 29 70 90 81 46 43 31 54
68 0 96 7 100 2 32 95 47 39 80 88 2 30 28 50 61 47 42 77 35 43 68 0 23 57 59 28 29 2 81 64 44 10 50 13 69 87 48 98 91 5 46 64 73 49 53 60 99 75 98 66 77 36 12 81 0 67 68 57 61 45 78 76 55 52 49 29 15 66 19 61 25 16 31 44 96 70 7 4
73 96 0 49 93 92 16 87 93 9 98 18 48 85 62 66 18 97 52 21 32 8 59 64 54 71 57 84 23 30 65 23 6 64 20 30 71 70 36 34 10 65 100 2 91 0 52 29 61 87 22 85 4 68 37 68 95 29 89 78 0 63 13 37 7 8 56 95 92 89 89 15 25 43 11 77 30 99 100 13
84 7 49 0 15 53 69 38 38 39 43 73 36 61 80 64 76 8 54 19 77 65 17 15 42 29 29 57 69 23 74 38 39 87 33 82 77 17 32 37 10 94 1 70 75 25 5 42 46 55 9 74 71 46 95 97 46 48 48 51 82 13 14 83 11 31 51 90 52 73 92 92 71 63 77 9 41 46 71 27
79 100 93 15 0 56 100 61 63 63 5 4 24 43 49 44 27 65 31 47 97 26 50 49 95 52 68 21 59 93 41 67 68 92 14 20 29 63 89 44 38 72 84 37 63 55 87 49 69 83 74 6 13 86 87 53 62 93 14 28 7 100 47 89 68 69 45 88 3 24 44 92 9 14 79 93 27 38 61 58
10 2 92 53 56 0 16 90 7 77 94 86 43 45 9 98 0 66 55 66 45 84 29 43 89 12 63 14 78 68 41 85 79 89 3 51 40 6 12 40 84 55 9 19 31 39 79 70 21 61 59 10 98 23 28 48 95 87 74 10 96 98 2 66 73 91 61 37 63 13 79 43 68 77 21 70 43 18 67 86
9 32 16 69 100 16 0 51 80 57 18 22 45 37 31 79 23 16 22 35 75 22 36 24 8 30 31 34 53 8 8 64 64 23 25 5 55 69 16 51 43 31 18 62 20 60 38 40 60 99 69 9 43 58 27 86 42 41 51 56 47 3 36 51 37 92 78 16 99 56 73 79 48 38 16 61 53 60 42 65
16 95 87 38 61 90 51 0 69 98 22 77 23 47 29 84 89 39 45 29 62 92 76 1 29 97 89 69 67 10 85 20 90 14 97 32 51 59 6 58 99 11 82 30 51 20 25 72 76 70 91 3 99 69 52 100 74 40 63 98 37 7 78 31 78 73 60 3 69 60 52 3 0 30 49 49 78 63 70 94
66 47 93 38 63 7 80 69 0 51 24 22 70 94 21 77 79 71 36 29 7 83 15 39 95 84 17 52 59 1 79 76 29 56 88 24 55 27 63 67 66 39 17 19 49 95 81 8 5 28 66 85 55 52 24 12 3 85 7 9 12 23 33 28 65 4 72 71 36 28 28 31 76 66 63 87 62 61 97 49
86 39 9 39 63 77 57 98 51 0 94 44 90 37 5 97 30 84 2 83 56 63 68 82 4 12 6 92 79 0 46 13 29 74 14 63 93 66 88 12 6 40 31 42 1 41 17 45 51 18 56 34 45 27 33 25 56 56 18 100 50 13 73 18 42 48 22 33 38 22 9 92 23 90 85 100 82 39 18 80
