140

0 10 0 34 88 32 90 75 29 25 63 23 80 26 82 72 89 36 22 56 78 40 99 16 55 49 74 27 6 58 80 65 15 37 84 90 60 24 36 78 26 15 31 96 85 20 94 30 63 52 86 51 40 37 20 87 33 95 57 80 29 7 2 53 84 46 72 92 28 9 66 93 15 36 66 40 6 74 39 1 31 99 55 55 69 67 33 95 74 83 31 76 29 8 62 48 42 34 24 55 78 83 21 38 74 79 11 61 81 92 48 7 84 27 26 14 88 40 64 30 54 50 1 72 7 26 59 11 31 45 4 19 40 14 20 20 39 64 90 33
10 0 68 18 28 10 54 73 12 1 47 19 99 38 94 84 60 86 12 8 15 79 53 75 78 59 27 2 45 41 99 41 51 50 35 14 96 99 12 67 38 26 41 78 57 40 90 4 96 85 30 72 51 90 97 1 35 9 53 17 6 15 13 2 30 7 3 56 13 10 61 39 81 10 19 81 99 68 97 68 32 7 45 27 28 87 70 65 74 70 98 76 34 15 40 63 27 27 79 9 36 95 100 35 28 38 29 40 79 53 97 40 79 10 56 82 17 82 96 98 32 11 32 47 41 75 18 100 12 63 75 92 57 47 90 14 77 58 52 80
0 68 0 83 19 8 56 18 28 93 55 26 87 57 2 96 76 5 20 98 14 59 4 52 96 50 37 60 10 26 71 78 9 13 13 6 94 24 95 32 23 31 64 61 13 37 64 40 97 43 51 69 28 23 31 12 85 20 16 25 7 51 35 77 77 90 16 9 77 32 41 57 16 49 72 24 35 16 80 3 82 64 14 33 1 71 78 86 54 30 38 39 52 20 89 7 98 88 78 75 60 17 4 15 47 18 80 98 34 79 69 20 71 89 92 34 74 46 40 99 39 75 97 67 36 43 75 55 69 86 41 51 68 52 28 58 35 56 34 13
34 18 83 0 67 10 35 99 39 33 43 41 88 72 96 65 65 84 0 65 72 0 55 60 7 12 50 6 73 12 75 78 2 14 85 97 83 43 6 16 19 51 94 83 68 70 56 73 24 16 19 68 14 7 37 3 29 20 95 100 54 30 90 11 38 74 17 63 43 61 36 82 68 71 18 55 87 24 91 94 31 83 80 73 67 79 60 49 8 16 62 27 60 68 21 41 67 19 53 41 48 88 76 69 15 65 69 27 42 23 70 38 59 22 99 100 21 35 75 41 26 12 70 58 51 82 27 28 54 43 69 6 35 24 3 83 95 12 26 63
88 28 19 67 0 68 67 76 39 16 77 13 72 11 87 27 36 91 78 9 98 91 62 7 12 17 19 29 68 8 49 62 48 56 57 80 20 62 39 92 91 8 74 41 0 25 91 10 36 97 54 62 42 16 40 78 97 58 3 14 14 37 38 75 4 56 89 23 22 33 47 30 82 75 12 90 85 59 41 20 6 7 96 45 72 74 88 9 68 18 67 8 21 72 88 96 66 96 36 31 78 51 100 16 66 13 80 2 0 31 29 84 58 88 37 31 29 72 89 16 35 52 7 89 31 29 59 35 95 35 41 72 74 44 9 8 19 57 70 3
32 10 8 10 68 0 29 71 13 48 18 93 61 51 76 58 60 16 1 36 3 17 82 10 50 83 20 23 49 67 13 24 61 59 27 83 65 70 17 62 46 47 4 86 59 24 83 39 17 64 50 41 45 90 50 42 75 54 55 78 91 78 27 76 15 62 8 37 40 38 4 89 27 72 35 96 44 19 88 55 77 13 47 62 84 79 96 83 30 45 24 6 5 42 45 51 52 88 0 99 88 76 31 71 25 2 32 67 86 83 61 37 32 87 71 72 5 10 74 87 93 39 55 31 12 6 83 7 61 49 63 40 0 47 23 0 99 2 79 51
90 54 56 35 67 29 0 52 70 83 86 9 74 29 93 18 79 99 55 79 15 22 79 6 58 46 60 52 52 73 30 48 25 0 25 41 72 79 26 99 26 16 43 88 81 65 51 82 98 39 61 2 9 71 4 81 32 81 54 72 96 9 18 75 45 49 96 58 81 68 11 54 59 74 47 99 85 40 27 1 15 72 79 28 17 79 31 76 2 75 68 30 89 32 39 49 3 29 71 48 55 91 80 53 0 33 32 96 70 6 50 4 40 65 65 43 69 84 40 71 33 56 0 86 2 20 86 23 27 14 9 47 40 81 37 99 97 23 99 85
75 73 18 99 76 71 52 0 28 55 46 65 28 51 80 10 56 55 86 33 48 35 88 12 16 91 45 13 58 92 92 59 79 2 34 81 90 83 50 5 62 93 17 32 71 61 65 67 1 52 2 97 28 54 86 60 18 95 56 57 86 30 31 38 37 35 71 76 97 2 56 18 5 18 91 31 59 39 16 99 80 54 3 52 63 55 13 9 74 63 40 53 10 33 67 95 94 83 89 63 7 8 44 54 87 75 33 15 8 27 75 29 83 84 33 55 91 8 32 90 47 100 56 8 2 27 82 11 60 40 96 86 34 78 15 6 92 69 84 88
29 12 28 39 39 13 70 28 0 12 50 99 51 83 52 17 37 9 100 39 38 30 23 59 35 80 37 55 76 77 91 69 91 28 39 48 25 42 15 37 27 34 84 0 73 70 69 30 23 45 46 69 82 19 68 23 24 76 87 96 93 68 31 8 85 65 34 9 76 38 5 89 15 71 85 27 88 20 43 54 71 68 53 23 71 33 18 32 71 7 21 50 21 34 88 83 73 26 66 46 99 75 15 5 43 13 36 8 100 84 89 82 62 40 25 36 67 79 75 43 61 76 82 43 58 78 39 8 46 54 46 89 7 36 78 28 99 65 95 46
25 1 93 33 16 48 83 55 12 0 15 39 2 16 81 85 30 41 86 65 4 8 28 45 7 18 75 61 29 58 80 67 1 22 85 17 5 56 72 50 46 60 100 8 48 20 46 41 13 87 45 53 24 46 42 85 55 31 54 48 93 8 72 10 63 82 14 50 58 92 43 75 100 3 47 72 53 2 0 21 14 61 44 43 33 20 64 90 49 28 34 62 35 12 38 91 84 7 94 59 59 37 63 42 15 41 45 41 80 37 40 55 85 56 59 26 68 47 22 95 84 52 82 58 91 56 38 77 57 18 76 37 88 52 38 17 93 61 75 84
63 47 55 43 77 18 86 46 50 15 0 67 54 45 42 23 68 22 94 22 10 52 95 2 24 77 6 15 19 29 54 5 90 12 86 81 19 72 88 76 70 13 50 31 23 62 48 4 63 17 62 73 3 84 22 29 9 73 61 82 93 88 70 25 79 43 48 89 32 90 13 2 27 91 55 51 15 82 90 97 6 35 89 99 44 40 21 55 2 5 42 16 39 56 84 35 7 91 33 90 100 4 76 16 75 34 26 58 27 73 31 96 22 70 100 98 48 54 9 10 87 14 71 11 33 62 15 80 25 40 9 19 31 23 24 87 86 44 45 62
