120

0 75 1 8 83 7 56 97 15 36 86 89 79 30 18 90 64 37 96 28 16 37 98 67 68 81 94 59 0 38 7 94 58 56 61 63 26 36 93 60 57 51 73 96 89 92 83 11 32 93 57 73 14 81 24 66 59 6 53 61 95 48 34 94 56 16 28 18 47 49 41 78 29 69 28 100 36 78 49 45 86 78 16 60 96 10 71 8 2 75 99 30 39 91 8 78 56 99 66 89 37 67 2 67 19 57 53 27 27 30 33 5 89 96 80 11 86 48 13 99
75 0 34 75 10 93 10 33 41 4 39 94 82 94 97 2 62 86 4 2 96 22 47 38 69 13 31 65 27 18 99 23 34 49 31 81 12 0 6 51 51 18 94 64 56 8 46 87 7 0 2 15 23 90 62 44 53 10 80 23 75 89 96 37 43 74 36 43 25 92 81 48 1 32 38 31 79 3 15 36 56 98 88 62 85 45 55 14 33 45 88 54 34 67 52 77 40 75 95 24 14 23 9 15 6 32 58 88 58 66 34 99 54 1 86 91 99 31 87 65
1 34 0 9 0 8 70 100 24 33 95 75 9 97 79 96 93 36 87 84 68 9 0 40 43 94 27 46 35 15 74 52 97 25 52 60 75 89 71 12 28 23 74 28 97 66 43 96 26 37 70 19 21 52 26 44 96 85 56 56 61 86 65 77 71 0 28 13 98 63 8 53 81 28 93 47 35 32 39 74 6 94 62 29 81 8 18 88 14 90 62 50 73 93 21 92 26 39 55 8 43 24 54 30 96 90 75 47 46 68 19 34 47 42 62 43 90 95 95 32
8 75 9 0 87 34 16 84 49 17 96 99 36 21 33 74 77 5 87 72 12 54 19 58 51 94 35 1 28 82 83 81 13 57 74 86 70 7 71 33 33 32 62 62 9 30 84 55 11 81 89 42 46 68 73 29 46 80 2 63 93 98 66 89 10 75 67 12 8 87 56 36 71 27 14 65 48 11 93 21 39 41 36 56 25 90 80 86 49 12 45 93 99 96 8 7 63 99 73 99 61 70 69 61 95 10 46 4 5 100 43 13 80 43 73 36 16 43 80 69
83 10 0 87 0 20 77 26 34 91 76 43 23 31 36 75 14 57 22 29 95 86 15 85 65 29 27 59 12 30 89 44 86 93 17 3 56 17 43 16 42 26 22 39 47 38 13 43 66 26 76 45 79 37 23 65 10 21 57 51 83 37 69 100 67 37 4 7 16 96 64 7 79 21 75 71 22 100 78 5 82 24 0 38 81 5 59 93 52 73 98 44 47 80 31 40 5 63 73 68 29 90 74 95 45 80 12 31 59 26 15 87 24 19 81 96 14 11 19 19
7 93 8 34 20 0 10 9 39 61 40 16 2 22 41 17 32 10 88 66 94 78 93 59 57 64 11 5 8 26 25 5 14 87 89 15 47 25 96 88 67 51 55 61 48 73 96 34 15 18 26 16 69 7 45 48 20 13 58 42 21 68 33 100 52 37 22 40 11 76 29 23 8 68 48 52 15 21 26 95 84 11 92 54 23 85 70 24 61 71 24 87 93 14 5 46 89 68 64 45 30 53 66 92 60 52 42 43 78 82 86 62 57 67 20 62 67 29 37 8
56 10 70 16 77 10 0 63 51 97 41 98 12 79 5 4 13 57 64 47 27 56 98 53 61 33 19 92 24 7 34 24 70 79 89 17 42 54 71 42 57 74 80 33 67 51 67 9 37 76 0 92 48 89 5 57 20 12 58 54 63 35 30 54 44 98 31 90 54 24 6 86 54 15 97 54 28 0 46 12 4 89 59 18 1 82 20 93 59 92 62 7 90 13 89 48 44 72 74 81 5 30 31 31 97 40 35 6 15 26 20 12 13 51 15 18 57 82 63 20
97 33 100 84 26 9 63 0 76 67 27 46 0 24 80 0 19 29 75 34 72 13 79 93 31 49 95 26 92 50 87 17 60 9 16 85 69 56 51 89 69 62 41 3 42 44 74 100 53 46 20 71 81 1 66 40 23 87 21 59 64 99 22 66 85 19 35 43 37 27 61 6 23 43 64 93 8 55 37 49 46 21 10 20 13 44 31 80 25 33 22 70 87 40 72 18 33 80 56 64 15 41 84 34 40 98 88 40 69 86 56 77 52 23 9 40 99 60 91 51
15 41 24 49 34 39 51 76 0 35 59 31 14 51 93 97 15 56 6 51 30 62 3 77 14 9 95 41 76 73 53 24 85 96 19 20 50 63 84 25 27 61 60 38 32 1 75 7 11 14 63 16 4 54 24 67 20 76 16 58 96 39 99 34 92 75 69 32 95 38 21 14 75 5 25 70 65 69 47 0 15 62 99 29 4 69 80 36 6 41 49 78 3 23 87 97 7 15 72 29 20 82 28 35 16 23 69 55 100 84 18 45 85 41 80 88 53 21 52 39
36 4 33 17 91 61 97 67 35 0 89 52 66 55 3 70 40 21 44 52 5 89 9 46 74 28 88 74 64 77 60 7 24 27 67 25 100 11 33 10 74 34 54 44 12 88 57 30 26 17 26 50 13 62 30 95 5 89 47 54 66 97 68 42 65 19 46 85 17 36 22 51 96 51 27 76 37 92 17 46 2 45 84 89 83 9 4 24 20 14 67 21 78 97 70 100 91 16 29 13 53 13 53 31 75 28 57 16 38 20 54 8 66 83 77 27 53 96 36 15
