60

0 5 46 27 79 56 8 55 24 17 83 0 45 59 22 83 4 25 66 70 95 88 49 100 90 28 9 61 18 25 10 26 92 59 69 41 76 71 49 25 9 18 60 30 73 18 31 30 21 42 70 36 15 55 37 99 72 86 25 40
5 0 29 78 60 22 19 32 42 84 78 25 20 40 14 51 37 7 18 51 22 67 0 25 14 54 71 50 97 46 22 32 51 98 87 45 95 58 67 53 23 16 20 14 12 17 5 39 44 57 95 32 53 45 86 26 80 93 54 89
46 29 0 72 82 48 88 85 54 70 1 20 88 3 38 95 68 7 89 11 31 45 38 5 71 88 66 75 38 11 78 39 16 40 9 38 21 34 11 25 42 85 20 71 33 45 67 57 78 57 46 10 5 30 62 97 79 94 2 12
27 78 72 0 42 1 78 87 9 88 29 54 97 87 10 42 22 27 60 82 77 18 33 64 27 92 54 51 54 37 57 68 18 31 41 69 18 59 29 85 17 92 29 81 99 22 58 96 56 3 64 92 69 34 4 10 64 20 75 16
79 60 82 42 0 86 41 23 21 0 47 32 10 98 87 32 58 80 48 93 39 91 62 15 71 60 100 62 9 41 4 29 13 7 20 24 65 38 86 98 97 87 59 54 36 64 4 0 59 48 70 93 22 78 41 85 16 64 81 42
56 22 48 1 86 0 77 66 36 88 82 80 47 39 20 24 93 35 62 77 38 42 58 67 15 76 0 50 96 4 31 50 86 21 31 72 7 80 81 57 68 100 91 26 94 4 74 74 48 27 62 77 68 47 15 60 74 23 35 11
8 19 88 78 41 77 0 69 83 92 57 26 72 6 12 89 31 6 47 3 20 99 55 96 81 6 1 92 46 94 54 0 88 53 92 5 7 75 18 28 2 91 4 31 0 81 8 5 9 78 50 55 87 59 83 35 30 37 100 34
55 32 85 87 23 66 69 0 73 49 79 14 6 94 81 70 98 79 7 67 52 45 89 97 91 88 51 81 78 60 23 14 96 66 92 21 27 10 19 50 20 88 100 59 8 44 99 88 38 94 32 28 5 81 21 35 21 97 49 47
24 42 54 9 21 36 83 73 0 14 60 44 32 72 81 61 100 34 46 99 78 78 2 32 24 66 48 2 100 88 7 89 21 41 78 42 49 46 26 81 5 5 86 89 39 71 39 63 23 96 82 15 53 9 89 10 65 41 93 34
17 84 70 88 0 88 92 49 14 0 35 100 38 6 33 79 10 49 44 97 31 75 4 9 85 44 15 59 29 64 39 43 32 80 87 5 14 96 40 62 39 79 50 92 7 56 52 3 87 44 54 4 37 5 93 35 92 52 15 75
83 78 1 29 47 82 57 79 60 35 0 48 85 69 94 35 87 24 41 36 16 72 75 44 3 23 29 47 26 93 4 25 12 1 83 99 24 50 25 19 97 24 78 78 87 69 62 58 68 55 62 98 93 28 35 98 39 52 77 94
0 25 20 54 32 80 26 14 44 100 48 0 66 28 71 38 72 79 54 5 14 45 96 64 84 28 59 82 53 16 28 79 33 56 72 34 27 39 5 66 55 96 87 71 64 92 92 47 28 36 79 95 93 19 34 100 26 79 49 85
45 20 88 97 10 47 72 6 32 38 85 66 0 41 47 100 98 79 70 37 62 87 36 35 11 48 66 54 82 81 45 96 41 38 9 33 99 52 2 44 24 74 23 61 39 55 41 25 58 28 35 67 9 61 58 37 28 69 59 82
59 40 3 87 98 39 6 94 72 6 69 28 41 0 20 81 49 98 4 3 30 20 38 50 47 64 39 36 56 76 33 52 29 73 11 26 19 9 23 21 76 11 80 78 18 91 43 33 46 45 71 22 61 97 98 22 18 77 94 36
