100

0 64 78 60 56 79 100 81 60 16 85 47 13 53 48 86 35 71 8 54 50 2 98 5 70 29 35 9 28 3 42 72 8 59 92 93 72 7 31 18 44 10 8 34 21 3 83 73 79 82 82 25 47 15 64 37 17 44 98 20 62 70 58 15 39 98 6 87 11 90 5 9 75 22 87 95 87 71 34 68 98 79 87 82 75 20 70 76 8 37 18 30 25 90 93 26 17 21 25 91
64 0 41 92 28 14 66 78 50 79 32 45 56 68 43 67 83 70 53 67 9 43 17 11 33 85 38 69 18 74 15 9 26 61 39 81 95 60 90 28 10 4 44 86 75 7 83 30 96 72 45 95 80 86 8 25 38 51 90 62 3 55 8 83 100 27 73 72 15 66 86 53 47 32 3 87 2 96 100 80 1 7 28 94 74 14 87 19 27 93 52 58 37 74 27 50 64 42 100 43
78 41 0 47 87 69 18 87 76 6 17 76 34 89 60 73 48 50 24 33 70 1 46 28 97 43 83 18 1 66 96 50 13 75 34 34 67 100 19 56 35 83 37 77 49 58 88 93 37 29 21 6 14 16 4 39 67 15 1 97 14 40 91 15 76 59 91 73 60 13 54 99 32 70 51 70 41 44 100 6 48 81 67 18 46 17 93 37 21 51 9 22 89 7 13 0 44 86 47 66
60 92 47 0 71 44 89 76 46 33 75 23 55 34 67 43 74 64 45 86 91 3 70 72 54 26 17 23 17 63 73 54 87 79 4 9 71 97 60 77 67 88 16 74 13 18 85 78 27 13 89 93 55 10 63 86 93 57 38 98 11 100 82 48 13 85 83 82 93 29 16 3 74 76 41 36 98 20 47 77 51 67 78 29 91 89 24 48 97 10 85 91 27 33 6 55 51 28 9 71
56 28 87 71 0 98 13 52 42 57 69 43 41 62 16 12 1 91 92 21 57 13 34 39 80 17 100 45 59 45 8 85 74 22 1 21 13 80 13 83 7 99 73 38 59 13 45 90 54 32 39 78 29 6 99 17 34 2 52 48 43 48 41 21 13 63 77 28 7 96 86 65 31 98 56 7 17 14 44 86 44 6 91 87 62 65 45 55 67 0 72 65 4 52 62 30 2 97 43 67
79 14 69 44 98 0 10 65 26 25 56 87 3 80 40 22 16 85 25 52 99 44 2 60 18 71 25 20 38 14 16 21 46 0 16 37 37 30 81 34 94 92 55 20 34 1 26 54 75 31 78 69 53 46 71 41 86 57 14 43 36 39 2 43 78 6 53 82 73 72 0 90 59 2 36 37 16 35 47 80 47 84 84 81 25 66 12 11 16 84 44 10 3 79 4 48 37 0 14 49
100 66 18 89 13 10 0 3 48 82 46 68 3 9 93 97 63 47 29 99 18 33 32 39 95 2 82 39 20 19 4 38 22 72 77 15 0 16 64 5 32 86 33 54 34 66 64 30 20 70 42 43 28 68 28 82 15 36 17 74 69 67 7 76 5 34 87 17 66 31 66 97 23 82 33 76 72 0 47 6 32 67 0 10 53 50 64 45 56 53 15 57 86 61 4 21 94 74 84 1
81 78 87 76 52 65 3 0 96 22 49 16 14 75 67 66 46 0 38 57 70 5 68 27 64 17 97 65 1 23 78 67 47 16 100 4 18 69 62 99 79 79 98 1 16 77 15 41 6 38 24 79 30 72 87 4 70 17 42 28 22 59 76 63 79 66 51 15 46 11 74 72 4 18 63 31 17 7 56 65 12 38 21 49 26 31 80 48 5 17 41 87 49 15 9 98 85 90 40 13
60 50 76 46 42 26 48 96 0 57 27 98 78 82 87 83 20 31 25 82 23 16 71 91 22 62 56 94 36 74 41 71 50 30 73 88 94 23 88 55 38 70 38 18 72 24 84 98 28 33 37 41 48 12 30 3 22 37 58 70 19 30 15 3 29 88 18 87 100 39 51 50 95 54 31 20 11 23 51 50 25 13 21 0 44 46 100 28 20 32 14 59 49 14 15 29 6 42 97 3
16 79 6 33 57 25 82 22 57 0 76 36 39 42 96 42 48 71 4 83 44 33 91 94 91 25 64 11 18 85 82 18 13 28 36 73 14 35 46 74 49 48 41 80 57 73 47 22 41 41 9 53 92 67 36 22 61 41 53 15 32 32 38 33 50 64 15 83 23 54 60 43 92 17 83 20 55 28 42 83 18 69 37 59 84 77 11 86 74 23 11 82 89 87 99 49 68 98 93 22
85 32 17 75 69 56 46 49 27 76 0 76 33 51 66 67 18 50 93 51 76 47 15 34 8 18 63 1 23 36 16 100 18 84 33 13 29 52 10 72 23 78 22 37 98 22 98 92 6 15 76 50 66 48 47 42 54 39 91 48 24 78 38 12 8 3 67 25 29 23 98 97 43 89 8 9 19 74 18 48 49 67 58 42 12 70 50 68 96 20 39 49 71 67 24 60 60 13 11 62
47 45 76 23 43 87 68 16 98 36 76 0 63 57 48 19 49 87 31 16 8 42 7 39 20 73 93 4 51 0 19 100 42 64 43 63 47 93 93 82 48 51 54 27 86 52 74 28 91 86 93 67 43 76 47 56 85 96 47 64 28 83 0 1 72 52 71 82 51 23 81 33 100 80 50 92 22 2 62 8 38 93 14 37 20 66 67 64 66 23 7 74 43 4 65 23 64 59 92 16
13 56 34 55 41 3 3 14 78 39 33 63 0 8 87 53 6 22 5 3 95 19 68 63 60 31 57 40 38 38 81 97 42 72 96 49 67 23 17 72 11 47 31 5 25 21 96 30 32 62 57 57 45 96 0 3 4 12 45 28 63 35 22 22 55 38 40 88 87 27 55 97 22 90 59 61 13 39 30 65 81 29 5 77 39 10 37 29 97 67 83 4 96 16 19 95 100 20 84 91
53 68 89 34 62 80 9 75 82 42 51 57 8 0 47 59 73 26 49 8 36 19 77 84 82 25 10 23 98 35 96 90 37 18 95 81 9 38 20 73 41 67 84 97 2 66 73 68 0 52 88 85 6 63 55 85 56 55 93 41 99 42 65 3 80 92 58 21 68 40 36 83 56 49 45 45 73 59 11 18 58 38 98 33 93 99 91 59 32 13 86 24 2 92 33 13 95 43 11 86
48 43 60 67 16 40 93 67 87 96 66 48 87 47 0 87 26 10 89 27 48 53 52 89 72 31 81 96 63 10 5 58 4 73 51 77 80 85 8 70 57 85 15 54 92 88 75 85 90 29 24 44 52 22 83 94 44 14 46 66 90 66 52 67 87 69 13 32 42 26 17 96 87 76 48 78 5 40 37 2 90 9 85 50 49 43 64 84 30 39 61 0 35 54 82 51 99 43 29 51
86 67 73 43 12 22 97 66 83 42 67 19 53 59 87 0 49 10 14 66 61 6 96 40 84 18 20 44 88 70 67 49 70 98 11 36 77 22 58 97 54 100 47 45 28 74 40 62 51 20 40 29 7 79 72 50 9 29 89 23 36 85 47 62 100 0 50 54 52 1 74 84 59 39 50 46 43 9 78 50 7 0 41 65 28 54 83 47 91 48 2 38 22 80 18 41 48 16 33 21
