20

0 43 100 59 4 48 55 87 2 16 43 31 78 91 43 55 48 82 45 22
43 0 35 24 11 44 65 95 34 6 38 8 37 31 60 88 17 87 18 81
100 35 0 98 23 58 75 53 85 34 55 87 22 46 4 62 5 79 75 59
59 24 98 0 14 59 32 10 25 4 11 35 9 40 59 26 76 55 91 23
4 11 23 14 0 86 1 28 73 19 23 27 55 51 92 10 58 29 85 22
48 44 58 59 86 0 7 99 97 21 90 18 23 99 57 4 24 12 86 80
55 65 75 32 1 7 0 49 70 91 8 67 79 18 45 70 18 67 8 4
87 95 53 10 28 99 49 0 75 3 45 4 17 61 56 41 38 17 79 73
2 34 85 25 73 97 70 75 0 89 7 77 39 81 40 76 69 37 97 28
16 6 34 4 19 21 91 3 89 0 72 55 72 5 88 90 13 43 68 8
43 38 55 11 23 90 8 45 7 72 0 37 72 23 79 72 25 32 49 13
31 8 87 35 27 18 67 4 77 55 37 0 70 82 60 78 1 27 77 44
78 37 22 9 55 23 79 17 39 72 72 70 0 96 75 15 10 57 37 16
91 31 46 40 51 99 18 61 81 5 23 82 96 0 55 82 96 77 22 68
43 60 4 59 92 57 45 56 40 88 79 60 75 55 0 93 5 38 95 0
55 88 62 26 10 4 70 41 76 90 72 78 15 82 93 0 91 29 65 61
48 17 5 76 58 24 18 38 69 13 25 1 10 96 5 91 0 20 97 56
82 87 79 55 29 12 67 17 37 43 32 27 57 77 38 29 20 0 34 36
45 18 75 91 85 86 8 79 97 68 49 77 37 22 95 65 97 34 0 70
22 81 59 23 22 80 4 73 28 8 13 44 16 68 0 61 56 36 70 0

0 31 12 38 92 83 100 39 4 48 38 87 44 81 49 40 0 70 45 99
31 0 55 23 76 38 66 97 75 9 75 8 94 73 63 16 55 53 79 44
12 55 0 59 36 92 10 13 18 53 95 60 98 48 15 32 32 46 67 23
38 23 59 0 1 22 56 82 10 18 90 99 99 24 30 41 72 90 11 95
92 76 36 1 0 14 66 72 79 22 81 63 99 38 28 83 14 44 42 86
83 38 92 22 14 0 24 72 29 83 54 50 73 52 1 64 7 65 5 15
100 66 10 56 66 24 0 81 82 100 23 4 64 90 83 87 90 29 38 4
39 97 13 82 72 72 81 0 98 0 96 21 47 35 17 6 40 77 30 30
4 75 18 10 79 29 82 98 0 12 12 65 16 53 87 75 24 67 80 73
48 9 53 18 22 83 100 0 12 0 98 64 14 99 33 9 70 21 57 60
38 75 95 90 81 54 23 96 12 98 0 41 6 35 39 54 79 88 56 97
87 8 60 99 63 50 4 21 65 64 41 0 58 78 60 54 77 73 72 9
44 94 98 99 99 73 64 47 16 14 6 58 0 40 69 17 81 1 67 45
81 73 48 24 38 52 90 35 53 99 35 78 40 0 30 86 35 13 56 90
49 63 15 30 28 1 83 17 87 33 39 60 69 30 0 79 9 16 7 76
40 16 32 41 83 64 87 6 75 9 54 54 17 86 79 0 8 77 17 96
0 55 32 72 14 7 90 40 24 70 79 77 81 35 9 8 0 36 78 23
70 53 46 90 44 65 29 77 67 21 88 73 1 13 16 77 36 0 98 78
45 79 67 11 42 5 38 30 80 57 56 72 67 56 7 17 78 98 0 88
99 44 23 95 86 15 4 30 73 60 97 9 45 90 76 96 23 78 88 0
