40

0 0 35 100 19 22 12 53 44 7 50 6 91 35 37 89 10 4 65 48 45 1 11 79 75 90 39 52 85 61 14 97 92 65 0 23 23 9 68 9
0 0 67 52 27 98 11 38 13 47 100 83 15 31 61 46 42 23 79 9 48 77 1 66 35 13 52 37 87 68 22 55 33 70 79 16 27 32 15 4
35 67 0 6 73 50 37 16 35 2 83 66 73 41 87 25 100 77 50 32 24 84 70 72 4 80 76 96 31 96 9 32 34 9 25 49 33 35 83 31
100 52 6 0 53 99 82 70 82 58 27 66 99 8 100 13 84 7 59 73 90 25 39 29 35 37 3 65 79 76 96 97 66 63 10 42 40 96 38 53
19 27 73 53 0 49 21 42 30 75 47 91 53 7 68 4 76 37 98 57 58 1 32 93 28 73 78 85 39 62 41 38 25 76 2 66 35 68 67 59
22 98 50 99 49 0 8 53 88 51 0 17 19 66 20 36 83 42 43 53 74 16 37 90 39 83 36 61 4 31 98 12 52 27 17 76 61 8 65 53
12 11 37 82 21 8 0 44 83 84 100 71 24 63 62 49 18 92 56 88 60 59 42 30 93 11 75 11 86 81 10 55 37 86 82 58 43 60 72 92
53 38 16 70 42 53 44 0 4 51 13 69 33 24 33 87 19 37 88 79 11 38 45 0 95 96 48 94 89 25 78 93 60 84 13 76 38 87 3 9
44 13 35 82 30 88 83 4 0 8 11 6 67 78 11 48 83 60 95 96 48 51 90 7 43 54 33 25 7 94 47 33 52 40 55 19 99 14 96 20
7 47 2 58 75 51 84 51 8 0 2 1 25 0 76 13 31 17 86 75 36 68 54 51 45 19 63 32 6 55 25 76 37 50 62 13 29 64 81 78
50 100 83 27 47 0 100 13 11 2 0 37 88 46 5 8 14 27 69 9 91 65 60 89 21 48 38 74 14 85 82 94 87 10 90 96 45 38 23 91
6 83 66 66 91 17 71 69 6 1 37 0 29 38 51 19 56 63 58 80 84 87 65 57 14 92 76 67 10 47 99 92 66 26 67 49 1 62 97 17
91 15 73 99 53 19 24 33 67 25 88 29 0 75 54 76 58 16 18 15 91 86 7 93 83 49 34 82 83 22 2 100 79 10 71 22 42 42 11 71
35 31 41 8 7 66 63 24 78 0 46 38 75 0 15 14 41 93 70 68 75 89 80 26 48 43 98 89 72 20 11 41 20 55 19 13 84 19 33 15
37 61 87 100 68 20 62 33 11 76 5 51 54 15 0 29 14 3 79 100 93 53 60 78 31 75 0 3 5 26 42 57 27 89 46 73 46 17 1 53
89 46 25 13 4 36 49 87 48 13 8 19 76 14 29 0 32 34 81 100 13 56 99 25 15 63 84 65 71 78 1 15 59 77 18 44 71 65 42 0
10 42 100 84 76 83 18 19 83 31 14 56 58 41 14 32 0 45 31 50 62 3 9 12 66 65 24 97 7 80 22 65 35 98 50 21 78 4 9 93
4 23 77 7 37 42 92 37 60 17 27 63 16 93 3 34 45 0 22 35 100 28 44 32 76 26 89 63 49 4 69 20 88 78 24 95 98 28 87 6
65 79 50 59 98 43 56 88 95 86 69 58 18 70 79 81 31 22 0 88 43 22 97 54 37 86 56 34 81 84 60 8 23 68 8 84 11 87 90 30
48 9 32 73 57 53 88 79 96 75 9 80 15 68 100 100 50 35 88 0 91 93 8 97 35 25 3 20 12 85 41 59 52 19 39 78 46 99 5 93
45 48 24 90 58 74 60 11 48 36 91 84 91 75 93 13 62 100 43 91 0 100 99 59 33 9 5 87 70 1 42 11 78 58 17 95 82 24 84 61
1 77 84 25 1 16 59 38 51 68 65 87 86 89 53 56 3 28 22 93 100 0 67 15 44 36 99 27 14 18 95 83 56 31 12 87 19 69 87 34
11 1 70 39 32 37 42 45 90 54 60 65 7 80 60 99 9 44 97 8 99 67 0 88 6 41 67 7 38 56 20 28 100 63 90 41 60 98 52 19
79 66 72 29 93 90 30 0 7 51 89 57 93 26 78 25 12 32 54 97 59 15 88 0 3 77 2 61 47 13 11 99 59 51 66 60 67 96 16 46
75 35 4 35 28 39 93 95 43 45 21 14 83 48 31 15 66 76 37 35 33 44 6 3 0 7 87 83 55 97 97 86 76 19 21 67 10 68 32 73
90 13 80 37 73 83 11 96 54 19 48 92 49 43 75 63 65 26 86 25 9 36 41 77 7 0 88 30 52 50 58 19 47 74 14 50 67 21 75 67
39 52 76 3 78 36 75 48 33 63 38 76 34 98 0 84 24 89 56 3 5 99 67 2 87 88 0 73 55 48 12 77 70 17 92 41 5 54 0 41
52 37 96 65 85 61 11 94 25 32 74 67 82 89 3 65 97 63 34 20 87 27 7 61 83 30 73 0 69 48 26 66 63 93 59 67 4 24 10 70
85 87 31 79 39 4 86 89 7 6 14 10 83 72 5 71 7 49 81 12 70 14 38 47 55 52 55 69 0 22 59 95 86 41 29 15 51 20 25 61
61 68 96 76 62 31 81 25 94 55 85 47 22 20 26 78 80 4 84 85 1 18 56 13 97 50 48 48 22 0 48 40 97 80 35 18 62 89 87 30
14 22 9 96 41 98 10 78 47 25 82 99 2 11 42 1 22 69 60 41 42 95 20 11 97 58 12 26 59 48 0 87 95 100 85 65 8 59 26 51
97 55 32 97 38 12 55 93 33 76 94 92 100 41 57 15 65 20 8 59 11 83 28 99 86 19 77 66 95 40 87 0 82 76 32 69 0 4 99 77
