13

0   23   5   3   8   9   19   2   17   1   18   0   2
23   0   7   15   4   1   11   3   8   20   2   17   10
5   7   0   23   4   11   19   0   1   17   22   14   9
3   15   23   0   11   8   6   18   22   15   10   0   4
8   4   4   11   0   19   6   13   20   12   24   14   17
9   1   11   8   19   0   2   17   0   6   13   14   12
19   11   19   6   6   2   0   11   14   18   8   17   9
2   3   0   18   13   17   11   0   9   21   24   19   6
17   8   1   22   20   0   14   9   0   11   10   2   8
1   20   17   15   12   6   18   21   11   0   2   20   12
18   2   22   10   24   13   8   24   10   2   0   1   6
0   17   14   0   14   14   17   19   2   20   1   0   25
2   10   9   4   17   12   9   6   8   12   6   25   0

0   14   24   37   22   31   25   21   47   27   20   50   34
14   0   10   23   36   19   13   15   33   19   28   36   20
24   10   0   13   46   19   13   25   23   19   28   26   10
37   23   13   0   59   30   24   38   10   32   39   19   3
22   36   46   59   0   53   47   21   69   27   42   72   56
31   19   19   30   53   0   6   32   32   38   21   19   27
25   13   13   24   47   6   0   26   26   32   15   25   21
21   15   25   38   21   32   26   0   48   6   41   51   35
47   33   23   10   69   32   26   48   0   42   41   21   13
27   19   19   32   27   38   32   6   42   0   47   45   29
20   28   28   39   42   21   15   41   41   47   0   40   36
50   36   26   19   72   19   25   51   21   45   40   0   16
34   20   10   3   56   27   21   35   13   29   36   16   0
