11

0   24   12   11   5   8   20   20   14   12   14
24   0   11   1   8   18   14   3   2   10   12
12   11   0   4   10   3   15   20   18   16   24
11   1   4   0   2   11   25   7   18   19   7
5   8   10   2   0   17   17   7   17   21   0
8   18   3   11   17   0   2   19   17   9   25
20   14   15   25   17   2   0   24   6   20   1
20   3   20   7   7   19   24   0   11   16   22
14   2   18   18   17   17   6   11   0   20   18
12   10   16   19   21   9   20   16   20   0   21
14   12   24   7   0   25   1   22   18   21   0

0   27   43   44   4   26   33   40   27   34   17
27   0   16   19   23   5   18   15   10   17   38
43   16   0   17   39   19   34   13   16   15   54
44   19   17   0   40   24   35   4   17   10   55
4   23   39   40   0   28   35   36   23   30   19
26   5   19   24   28   0   15   20   15   22   35
33   18   34   35   35   15   0   31   22   29   20
40   15   13   4   36   20   31   0   13   6   51
27   10   16   17   23   15   22   13   0   7   38
34   17   15   10   30   22   29   6   7   0   45
17   38   54   55   19   35   20   51   38   45   0
