13

0   16   13   3   3   2   5   18   0   7   1   3   3
16   0   3   0   15   8   18   0   21   2   12   22   14
13   3   0   2   5   23   21   8   4   15   0   9   21
3   0   2   0   24   17   20   4   7   23   9   24   8
3   15   5   24   0   1   19   9   3   8   18   8   18
2   8   23   17   1   0   17   19   7   0   22   17   3
5   18   21   20   19   17   0   17   5   6   21   21   12
18   0   8   4   9   19   17   0   13   22   23   15   7
0   21   4   7   3   7   5   13   0   0   22   16   2
7   2   15   23   8   0   6   22   0   0   14   24   20
1   12   0   9   18   22   21   23   22   14   0   15   19
3   22   9   24   8   17   21   15   16   24   15   0   21
3   14   21   8   18   3   12   7   2   20   19   21   0

0   24   15   47   34   23   33   21   9   50   10   23   28
24   0   9   71   50   7   57   45   15   46   28   41   52
15   9   0   62   41   8   48   36   12   45   19   32   43
47   71   62   0   21   70   30   26   56   37   43   36   19
34   50   41   21   0   49   51   21   41   16   24   57   32
23   7   8   70   49   0   56   44   18   39   27   40   51
33   57   48   30   51   56   0   30   42   67   29   16   19
21   45   36   26   21   44   30   0   30   37   17   36   11
9   15   12   56   41   18   42   30   0   57   17   26   37
50   46   45   37   16   39   67   37   57   0   40   73   48
10   28   19   43   24   27   29   17   17   40   0   33   24
23   41   32   36   57   40   16   36   26   73   33   0   25
28   52   43   19   32   51   19   11   37   48   24   25   0
