10

0   0   16   9   25   20   21   23   0   3
0   0   10   7   16   10   24   23   9   21
16   10   0   12   3   16   22   12   9   9
9   7   12   0   7   16   20   22   2   15
25   16   3   7   0   4   0   14   14   22
20   10   16   16   4   0   5   8   25   18
21   24   22   20   0   5   0   24   6   1
23   23   12   22   14   8   24   0   13   10
0   9   9   2   14   25   6   13   0   4
3   21   9   15   22   18   1   10   4   0

0   36   44   24   45   38   68   20   42   43
36   0   76   38   73   2   52   24   56   9
44   76   0   38   15   74   38   64   20   67
24   38   38   0   35   36   44   26   18   29
45   73   15   35   0   71   23   61   17   64
38   2   74   36   71   0   50   26   54   7
68   52   38   44   23   50   0   56   26   43
20   24   64   26   61   26   56   0   44   31
42   56   20   18   17   54   26   44   0   47
43   9   67   29   64   7   43   31   47   0
