12

0   13   0   21   8   14   15   15   12   21   0   21
13   0   18   3   11   23   15   20   4   19   14   11
0   18   0   4   9   14   10   18   7   4   5   8
21   3   4   0   16   21   12   17   18   18   19   12
8   11   9   16   0   5   3   11   1   9   6   3
14   23   14   21   5   0   0   3   11   10   10   11
15   15   10   12   3   0   0   2   12   4   5   12
15   20   18   17   11   3   2   0   24   2   7   5
12   4   7   18   1   11   12   24   0   0   3   11
21   19   4   18   9   10   4   2   0   0   14   18
0   14   5   19   6   10   5   7   3   14   0   9
21   11   8   12   3   11   12   5   11   18   9   0

0   65   42   70   25   24   53   49   52   13   49   58
65   0   29   19   40   47   50   16   13   52   44   13
42   29   0   48   17   66   79   23   40   37   73   22
70   19   48   0   45   52   31   25   18   57   25   32
25   40   17   45   0   49   62   24   27   20   56   33
24   47   66   52   49   0   35   43   34   29   31   50
53   50   79   31   62   35   0   56   39   42   6   63
49   16   23   25   24   43   56   0   17   36   50   9
52   13   40   18   27   34   39   17   0   39   33   24
13   52   37   57   20   29   42   36   39   0   36   45
49   44   73   25   56   31   6   50   33   36   0   57
58   13   22   32   33   50   63   9   24   45   57   0
