19

0   13   3   2   11   15   21   20   14   9   5   16   7   7   12   1   7   2   4
13   0   1   12   5   20   12   18   7   10   12   8   23   12   6   1   17   11   1
3   1   0   21   16   25   4   11   13   12   0   3   14   14   21   21   10   3   20
2   12   21   0   24   16   22   9   5   10   10   0   22   20   18   24   2   16   9
11   5   16   24   0   8   8   14   6   8   7   4   2   22   20   3   8   0   17
15   20   25   16   8   0   1   10   5   9   19   0   6   11   2   8   11   11   12
21   12   4   22   8   1   0   24   18   13   21   16   7   12   7   7   7   3   3
20   18   11   9   14   10   24   0   15   7   22   2   0   23   20   2   21   14   14
14   7   13   5   6   5   18   15   0   10   11   11   3   22   5   8   13   4   0
9   10   12   10   8   9   13   7   10   0   14   4   17   10   12   18   8   5   19
5   12   0   10   7   19   21   22   11   14   0   8   14   1   19   7   25   8   13
16   8   3   0   4   0   16   2   11   4   8   0   6   15   4   22   14   23   7
7   23   14   22   2   6   7   0   3   17   14   6   0   11   5   7   5   23   1
7   12   14   20   22   11   12   23   22   10   1   15   11   0   19   9   7   5   10
12   6   21   18   20   2   7   20   5   12   19   4   5   19   0   24   23   17   10
1   1   21   24   3   8   7   2   8   18   7   22   7   9   24   0   17   9   6
7   17   10   2   8   11   7   21   13   8   25   14   5   7   23   17   0   17   0
2   11   3   16   0   11   3   14   4   5   8   23   23   5   17   9   17   0   16
4   1   20   9   17   12   3   14   0   19   13   7   1   10   10   6   0   16   0

0   20   37   5   27   22   14   49   29   25   33   46   33   55   27   61   42   29   47
20   0   17   21   17   22   16   29   31   23   13   26   17   35   25   41   40   9   27
37   17   0   38   20   39   33   26   28   26   4   27   14   18   28   24   43   8   16
5   21   38   0   28   17   9   50   34   22   34   47   34   56   22   62   37   30   48
27   17   20   28   0   29   23   22   48   6   22   19   34   28   8   34   23   22   36
22   22   39   17   29   0   8   51   51   23   35   48   37   57   21   63   32   31   49
14   16   33   9   23   8   0   45   43   17   29   42   29   51   15   57   28   25   43
49   29   26   50   22   51   45   0   54   28   28   3   40   26   30   24   19   28   42
29   31   28   34   48   51   43   54   0   54   26   55   22   44   56   50   71   26   36
25   23   26   22   6   23   17   28   54   0   28   25   40   34   2   40   17   28   42
33   13   4   34   22   35   29   28   26   28   0   29   12   22   30   28   45   4   14
46   26   27   47   19   48   42   3   55   25   29   0   41   27   27   25   16   29   43
33   17   14   34   34   37   29   40   22   40   12   41   0   22   42   28   57   12   14
55   35   18   56   28   57   51   26   44   34   22   27   22   0   36   6   43   26   16
27   25   28   22   8   21   15   30   56   2   30   27   42   36   0   42   15   30   44
61   41   24   62   34   63   57   24   50   40   28   25   28   6   42   0   41   32   18
42   40   43   37   23   32   28   19   71   17   45   16   57   43   15   41   0   45   59
29   9   8   30   22   31   25   28   26   28   4   29   12   26   30   32   45   0   18
47   27   16   48   36   49   43   42   36   42   14   43   14   16   44   18   59   18   0
