14

0   22   24   4   21   6   15   23   21   25   20   5   14   20
22   0   22   25   15   24   3   6   16   17   7   14   3   4
24   22   0   14   24   24   10   25   14   17   22   20   8   5
4   25   14   0   12   22   9   23   11   14   10   23   6   12
21   15   24   12   0   15   21   15   0   25   3   22   19   1
6   24   24   22   15   0   22   9   2   8   3   22   17   10
15   3   10   9   21   22   0   0   20   11   10   25   19   11
23   6   25   23   15   9   0   0   8   4   5   18   4   19
21   16   14   11   0   2   20   8   0   19   14   23   25   23
25   17   17   14   25   8   11   4   19   0   23   11   8   24
20   7   22   10   3   3   10   5   14   23   0   6   17   19
5   14   20   23   22   22   25   18   23   11   6   0   13   5
14   3   8   6   19   17   19   4   25   8   17   13   0   4
20   4   5   12   1   10   11   19   23   24   19   5   4   0

0   35   30   11   37   29   30   35   41   34   38   46   20   16
35   0   35   24   32   42   45   48   36   15   73   41   55   51
30   35   0   27   67   59   10   65   71   50   38   76   20   24
11   24   27   0   40   32   27   38   44   23   49   49   31   27
37   32   67   40   0   18   67   24   4   23   49   9   47   43
29   42   59   32   18   0   59   6   18   41   31   17   39   35
30   45   10   27   67   59   0   65   71   50   36   76   20   24
35   48   65   38   24   6   65   0   24   47   29   17   45   41
41   36   71   44   4   18   71   24   0   23   49   7   51   47
34   15   50   23   23   41   50   47   23   0   72   30   54   50
38   73   38   49   49   31   36   29   49   72   0   42   18   22
46   41   76   49   9   17   76   17   7   30   42   0   56   52
20   55   20   31   47   39   20   45   51   54   18   56   0   4
16   51   24   27   43   35   24   41   47   50   22   52   4   0
