12

0   12   12   17   17   23   18   10   13   6   5   23
12   0   25   14   12   25   9   11   19   25   21   15
12   25   0   19   3   2   20   17   18   13   13   14
17   14   19   0   7   5   11   14   10   25   10   18
17   12   3   7   0   9   16   5   10   23   24   8
23   25   2   5   9   0   20   1   2   0   21   22
18   9   20   11   16   20   0   8   21   16   18   18
10   11   17   14   5   1   8   0   6   13   16   10
13   19   18   10   10   2   21   6   0   24   24   0
6   25   13   25   23   0   16   13   24   0   25   13
5   21   13   10   24   21   18   16   24   25   0   23
23   15   14   18   8   22   18   10   0   13   23   0

0   32   11   39   18   41   22   38   7   21   36   22
32   0   29   71   30   73   54   70   25   53   68   28
11   29   0   42   7   44   25   41   16   24   39   11
39   71   42   0   41   6   17   21   46   18   11   43
18   30   7   41   0   43   30   40   23   23   38   4
41   73   44   6   43   0   19   15   48   20   5   45
22   54   25   17   30   19   0   22   29   15   14   34
38   70   41   21   40   15   22   0   45   17   10   42
7   25   16   46   23   48   29   45   0   28   43   27
21   53   24   18   23   20   15   17   28   0   15   25
36   68   39   11   38   5   14   10   43   15   0   40
22   28   11   43   4   45   34   42   27   25   40   0
