17

0   19   0   14   15   22   19   12   19   25   10   20   6   11   16   15   5
19   0   20   9   17   10   24   0   22   16   25   10   20   2   19   3   21
0   20   0   23   3   16   10   17   8   20   23   22   10   19   8   18   22
14   9   23   0   21   24   17   15   15   10   21   5   6   18   22   9   6
15   17   3   21   0   20   6   9   5   7   1   11   15   22   7   8   23
22   10   16   24   20   0   6   25   22   5   14   24   21   21   11   4   10
19   24   10   17   6   6   0   19   23   4   3   13   19   16   20   14   16
12   0   17   15   9   25   19   0   23   13   17   5   1   2   22   1   0
19   22   8   15   5   22   23   23   0   7   14   15   21   3   3   21   6
25   16   20   10   7   5   4   13   7   0   23   10   11   5   7   15   3
10   25   23   21   1   14   3   17   14   23   0   11   14   24   2   9   3
20   10   22   5   11   24   13   5   15   10   11   0   20   1   14   6   19
6   20   10   6   15   21   19   1   21   11   14   20   0   8   24   17   23
11   2   19   18   22   21   16   2   3   5   24   1   8   0   18   20   18
16   19   8   22   7   11   20   22   3   7   2   14   24   18   0   2   0
15   3   18   9   8   4   14   1   21   15   9   6   17   20   2   0   3
5   21   22   6   23   10   16   0   6   3   3   19   23   18   0   3   0

0   26   55   36   68   49   23   8   42   27   28   40   62   26   20   29   5
26   0   29   30   42   33   23   28   18   25   2   16   46   20   34   45   23
55   29   0   59   13   26   36   57   13   54   27   29   39   49   63   58   52
36   30   59   0   72   33   43   44   46   9   32   44   26   10   16   65   31
68   42   13   72   0   39   45   70   26   67   40   28   52   62   76   47   65
49   33   26   33   39   0   56   57   15   28   33   49   13   23   37   78   44
23   23   36   43   45   56   0   25   41   34   23   17   69   33   31   22   20
8   28   57   44   70   57   25   0   44   35   30   42   70   34   28   23   13
42   18   13   46   26   15   41   44   0   41   18   34   28   36   50   63   39
27   25   54   9   67   28   34   35   41   0   27   39   35   5   9   56   22
28   2   27   32   40   33   23   30   18   27   0   16   46   22   36   45   25
40   16   29   44   28   49   17   42   34   39   16   0   62   34   48   29   37
62   46   39   26   52   13   69   70   28   35   46   62   0   36   42   91   57
26   20   49   10   62   23   33   34   36   5   22   34   36   0   14   55   21
20   34   63   16   76   37   31   28   50   9   36   48   42   14   0   49   15
29   45   58   65   47   78   22   23   63   56   45   29   91   55   49   0   34
5   23   52   31   65   44   20   13   39   22   25   37   57   21   15   34   0
