10

0   8   11   6   1   10   0   6   9   14
8   0   6   13   18   14   18   0   0   16
11   6   0   25   13   9   16   15   18   5
6   13   25   0   10   8   23   12   15   18
1   18   13   10   0   9   7   21   10   1
10   14   9   8   9   0   11   15   18   7
0   18   16   23   7   11   0   11   11   8
6   0   15   12   21   15   11   0   1   10
9   0   18   15   10   18   11   1   0   1
14   16   5   18   1   7   8   10   1   0

0   18   25   44   55   18   61   40   35   69
18   0   21   40   51   4   57   28   53   65
25   21   0   19   34   25   36   25   50   44
44   40   19   0   29   44   17   30   45   25
55   51   34   29   0   55   22   59   30   20
18   4   25   44   55   0   61   32   53   69
61   57   36   17   22   61   0   37   38   8
40   28   25   30   59   32   37   0   75   39
35   53   50   45   30   53   38   75   0   44
69   65   44   25   20   69   8   39   44   0
