13

0   21   1   11   23   24   13   5   4   9   13   12   3
21   0   25   2   15   25   14   6   13   13   18   24   22
1   25   0   5   0   24   25   10   9   5   9   21   25
11   2   5   0   20   7   8   13   8   10   11   12   24
23   15   0   20   0   20   14   7   9   4   17   25   14
24   25   24   7   20   0   11   25   20   3   9   7   7
13   14   25   8   14   11   0   11   6   0   14   3   17
5   6   10   13   7   25   11   0   13   22   9   6   22
4   13   9   8   9   20   6   13   0   1   13   15   0
9   13   5   10   4   3   0   22   1   0   1   10   17
13   18   9   11   17   9   14   9   13   1   0   8   0
12   24   21   12   25   7   3   6   15   10   8   0   4
3   22   25   24   14   7   17   22   0   17   0   4   0

0   64   33   42   38   11   55   23   65   46   43   35   19
64   0   35   54   26   55   29   41   3   44   33   33   45
33   35   0   19   9   44   40   42   36   13   10   2   18
42   54   19   0   28   53   49   51   55   10   21   21   27
38   26   9   28   0   39   35   37   27   18   15   7   19
11   55   44   53   39   0   46   14   56   57   54   46   26
55   29   40   49   35   46   0   32   32   53   50   42   36
23   41   42   51   37   14   32   0   42   55   52   44   24
65   3   36   55   27   56   32   42   0   45   34   34   46
46   44   13   10   18   57   53   55   45   0   11   11   31
43   33   10   21   15   54   50   52   34   11   0   8   28
35   33   2   21   7   46   42   44   34   11   8   0   20
19   45   18   27   19   26   36   24   46   31   28   20   0
