13

0   11   5   1   0   23   6   6   0   22   14   24   22
11   0   14   25   23   3   21   23   5   13   12   24   16
5   14   0   9   12   15   11   20   3   13   6   16   0
1   25   9   0   2   0   7   18   7   5   7   19   6
0   23   12   2   0   17   6   0   9   18   20   17   24
23   3   15   0   17   0   6   12   17   0   12   16   7
6   21   11   7   6   6   0   15   10   5   5   21   15
6   23   20   18   0   12   15   0   18   1   14   0   19
0   5   3   7   9   17   10   18   0   16   16   17   6
22   13   13   5   18   0   5   1   16   0   6   20   17
14   12   6   7   20   12   5   14   16   6   0   3   4
24   24   16   19   17   16   21   0   17   20   3   0   4
22   16   0   6   24   7   15   19   6   17   4   4   0

0   24   58   10   11   30   34   10   26   42   45   52   25
24   0   34   14   13   14   38   34   30   46   43   32   9
58   34   0   48   47   38   28   68   38   22   19   56   33
10   14   48   0   3   20   42   20   34   50   47   42   15
11   13   47   3   0   19   39   21   31   47   44   41   14
30   14   38   20   19   0   52   40   44   60   57   22   23
34   38   28   42   39   52   0   40   10   10   15   70   29
10   34   68   20   21   40   40   0   30   50   55   62   35
26   30   38   34   31   44   10   30   0   20   25   62   21
42   46   22   50   47   60   10   50   20   0   5   78   37
45   43   19   47   44   57   15   55   25   5   0   75   34
52   32   56   42   41   22   70   62   62   78   75   0   41
25   9   33   15   14   23   29   35   21   37   34   41   0
