11

0   16   23   6   5   18   13   14   1   7   17
16   0   13   10   0   24   4   11   13   9   24
23   13   0   0   0   3   4   9   18   11   13
6   10   0   0   11   17   0   2   17   18   5
5   0   0   11   0   11   13   23   21   8   1
18   24   3   17   11   0   4   4   0   19   16
13   4   4   0   13   4   0   20   7   20   16
14   11   9   2   23   4   20   0   2   10   18
1   13   18   17   21   0   7   2   0   21   3
7   9   11   18   8   19   20   10   21   0   7
17   24   13   5   1   16   16   18   3   7   0

0   47   19   43   8   40   55   45   71   47   28
47   0   28   14   55   33   38   18   24   34   25
19   28   0   24   27   51   36   36   52   28   41
43   14   24   0   51   47   24   32   28   20   37
8   55   27   51   0   48   63   53   79   55   36
40   33   51   47   48   0   71   15   39   67   18
55   38   36   24   63   71   0   56   32   8   61
45   18   36   32   53   15   56   0   26   52   23
71   24   52   28   79   39   32   26   0   28   49
47   34   28   20   55   67   8   52   28   0   57
28   25   41   37   36   18   61   23   49   57   0
