16

0   7   17   7   7   6   25   4   16   8   9   1   14   5   3   12
7   0   6   25   14   2   7   0   24   7   13   24   20   16   8   15
17   6   0   17   12   3   6   5   18   24   23   0   23   3   22   21
7   25   17   0   18   12   5   15   19   11   3   11   12   8   24   11
7   14   12   18   0   22   11   9   0   1   2   21   13   10   9   16
6   2   3   12   22   0   15   0   7   18   22   24   19   13   3   12
25   7   6   5   11   15   0   22   14   16   10   12   14   16   17   4
4   0   5   15   9   0   22   0   10   3   17   11   7   20   4   3
16   24   18   19   0   7   14   10   0   21   12   23   21   18   11   0
8   7   24   11   1   18   16   3   21   0   17   14   2   1   6   22
9   13   23   3   2   22   10   17   12   17   0   24   6   4   9   5
1   24   0   11   21   24   12   11   23   14   24   0   6   15   12   6
14   20   23   12   13   19   14   7   21   2   6   6   0   19   3   20
5   16   3   8   10   13   16   20   18   1   4   15   19   0   6   15
3   8   22   24   9   3   17   4   11   6   9   12   3   6   0   20
12   15   21   11   16   12   4   3   0   22   5   6   20   15   20   0

0   32   31   22   47   7   28   31   58   41   52   73   4   40   84   21
32   0   33   30   27   25   8   51   26   41   36   41   36   20   52   21
31   33   0   9   60   24   25   18   49   10   21   42   35   53   53   12
22   30   9   0   57   15   22   21   46   19   30   51   26   50   62   9
47   27   60   57   0   48   35   78   23   68   63   38   47   7   49   48
7   25   24   15   48   0   21   30   51   34   45   66   11   41   77   14
28   8   25   22   35   21   0   43   30   33   28   45   32   28   56   13
31   51   18   21   78   30   43   0   67   12   23   52   33   71   55   30
58   26   49   46   23   51   30   67   0   57   52   15   62   22   28   37
41   41   10   19   68   34   33   12   57   0   11   42   45   61   43   20
52   36   21   30   63   45   28   23   52   11   0   37   56   56   32   31
73   41   42   51   38   66   45   52   15   42   37   0   77   37   13   52
4   36   35   26   47   11   32   33   62   45   56   77   0   40   88   25
40   20   53   50   7   41   28   71   22   61   56   37   40   0   48   41
84   52   53   62   49   77   56   55   28   43   32   13   88   48   0   63
21   21   12   9   48   14   13   30   37   20   31   52   25   41   63   0
