8

0   12   12   3   24   17   21   7
12   0   4   11   21   23   9   24
12   4   0   7   4   24   5   22
3   11   7   0   24   14   19   18
24   21   4   24   0   15   24   18
17   23   24   14   15   0   15   8
21   9   5   19   24   15   0   1
7   24   22   18   18   8   1   0

0   35   47   33   59   48   26   36
35   0   64   50   24   65   9   31
47   64   0   16   58   15   57   33
33   50   16   0   44   15   43   19
59   24   58   44   0   59   33   25
48   65   15   15   59   0   58   34
26   9   57   43   33   58   0   24
36   31   33   19   25   34   24   0
