14

0   15   5   24   23   22   12   5   9   6   9   13   0   16
15   0   9   12   16   11   18   24   16   9   6   21   16   10
5   9   0   0   21   7   23   17   2   15   19   8   12   20
24   12   0   0   8   25   8   11   1   20   16   16   1   0
23   16   21   8   0   13   16   16   2   10   6   14   1   3
22   11   7   25   13   0   12   22   0   9   18   9   13   16
12   18   23   8   16   12   0   9   0   1   2   1   24   24
5   24   17   11   16   22   9   0   8   5   9   24   2   21
9   16   2   1   2   0   0   8   0   22   18   4   5   3
6   9   15   20   10   9   1   5   22   0   20   6   24   17
9   6   19   16   6   18   2   9   18   20   0   18   9   2
13   21   8   16   14   9   1   24   4   6   18   0   9   23
0   16   12   1   1   13   24   2   5   24   9   9   0   25
16   10   20   0   3   16   24   21   3   17   2   23   25   0

0   39   33   3   22   59   50   54   8   35   32   38   52   4
39   0   16   36   17   20   31   15   31   12   37   23   13   35
33   16   0   32   11   26   47   21   33   4   53   7   19   29
3   36   32   0   25   56   47   51   5   32   29   39   49   3
22   17   11   25   0   37   40   32   26   13   46   16   30   22
59   20   26   56   37   0   23   11   51   24   29   31   11   55
50   31   47   47   40   23   0   34   42   43   18   54   34   46
54   15   21   51   32   11   34   0   46   19   40   20   2   50
8   31   33   5   26   51   42   46   0   29   24   40   44   4
35   12   4   32   13   24   43   19   29   0   49   11   17   31
32   37   53   29   46   29   18   40   24   49   0   60   40   28
38   23   7   39   16   31   54   20   40   11   60   0   20   36
52   13   19   49   30   11   34   2   44   17   40   20   0   48
4   35   29   3   22   55   46   50   4   31   28   36   48   0
