19

0   5   10   23   2   7   18   4   17   22   17   11   6   7   14   4   24   9   10
5   0   20   10   17   24   23   18   11   6   10   25   8   10   15   18   24   4   8
10   20   0   11   12   24   12   11   15   3   12   13   6   20   22   7   10   15   15
23   10   11   0   3   2   2   10   21   25   2   13   13   14   15   8   20   7   6
2   17   12   3   0   21   3   4   24   4   15   3   6   18   3   8   19   13   25
7   24   24   2   21   0   15   7   3   25   23   15   19   5   21   23   0   3   5
18   23   12   2   3   15   0   12   15   15   15   14   3   3   16   13   7   13   0
4   18   11   10   4   7   12   0   9   9   5   7   5   21   16   16   1   6   24
17   11   15   21   24   3   15   9   0   9   19   19   6   12   6   19   5   13   21
22   6   3   25   4   25   15   9   9   0   16   25   24   17   12   16   4   12   13
17   10   12   2   15   23   15   5   19   16   0   12   23   17   2   1   17   16   4
11   25   13   13   3   15   14   7   19   25   12   0   14   4   10   7   11   16   0
6   8   6   13   6   19   3   5   6   24   23   14   0   2   3   21   2   13   1
7   10   20   14   18   5   3   21   12   17   17   4   2   0   18   20   22   4   24
14   15   22   15   3   21   16   16   6   12   2   10   3   18   0   0   5   1   0
4   18   7   8   8   23   13   16   19   16   1   7   21   20   0   0   2   24   8
24   24   10   20   19   0   7   1   5   4   17   11   2   22   5   2   0   14   8
9   4   15   7   13   3   13   6   13   12   16   16   13   4   1   24   14   0   17
10   8   15   6   25   5   0   24   21   13   4   0   1   24   0   8   8   17   0

0   42   33   26   43   40   44   1   62   34   50   3   42   18   44   41   48   30   47
42   0   35   20   69   48   6   41   32   60   24   39   12   24   10   67   10   28   43
33   35   0   15   34   13   41   32   29   25   17   30   23   27   45   32   25   7   14
26   20   15   0   49   28   26   25   36   40   24   23   16   12   30   47   22   8   23
43   69   34   49   0   21   75   44   37   13   45   44   57   61   79   6   59   41   26
40   48   13   28   21   0   54   39   22   18   24   37   36   40   58   19   38   20   7
44   6   41   26   75   54   0   43   38   66   30   41   18   26   4   73   16   34   49
1   41   32   25   44   39   43   0   61   35   49   2   41   17   43   42   47   29   46
62   32   29   36   37   22   38   61   0   40   12   59   20   44   42   35   22   32   15
34   60   25   40   13   18   66   35   40   0   36   35   48   52   70   7   50   32   25
50   24   17   24   45   24   30   49   12   36   0   47   12   32   34   43   14   20   19
3   39   30   23   44   37   41   2   59   35   47   0   39   17   41   42   45   27   44
42   12   23   16   57   36   18   41   20   48   12   39   0   24   22   55   6   16   31
18   24   27   12   61   40   26   17   44   52   32   17   24   0   26   59   30   20   35
44   10   45   30   79   58   4   43   42   70   34   41   22   26   0   77   20   38   53
41   67   32   47   6   19   73   42   35   7   43   42   55   59   77   0   57   39   24
48   10   25   22   59   38   16   47   22   50   14   45   6   30   20   57   0   18   33
30   28   7   8   41   20   34   29   32   32   20   27   16   20   38   39   18   0   17
47   43   14   23   26   7   49   46   15   25   19   44   31   35   53   24   33   17   0
