20

0   14   7   13   4   6   12   2   15   25   11   13   0   10   12   12   0   0   9   21
14   0   15   10   18   20   20   4   7   6   14   1   20   6   1   4   3   21   23   11
7   15   0   0   21   20   22   22   21   1   17   10   24   8   11   18   21   7   8   18
13   10   0   0   14   10   4   22   2   19   9   10   9   2   12   9   14   4   19   9
4   18   21   14   0   12   4   19   2   6   0   0   6   3   18   6   15   5   1   12
6   20   20   10   12   0   1   13   6   11   4   25   22   5   3   20   18   5   1   5
12   20   22   4   4   1   0   19   11   13   25   5   22   16   8   9   19   17   3   19
2   4   22   22   19   13   19   0   1   16   22   22   5   7   15   17   14   12   19   3
15   7   21   2   2   6   11   1   0   14   1   14   4   12   6   25   22   15   22   13
25   6   1   19   6   11   13   16   14   0   10   25   22   21   13   13   7   1   11   15
11   14   17   9   0   4   25   22   1   10   0   11   5   11   0   12   5   10   18   9
13   1   10   10   0   25   5   22   14   25   11   0   10   7   2   22   20   4   19   22
0   20   24   9   6   22   22   5   4   22   5   10   0   7   9   9   12   2   11   2
10   6   8   2   3   5   16   7   12   21   11   7   7   0   23   3   23   5   5   1
12   1   11   12   18   3   8   15   6   13   0   2   9   23   0   6   6   3   16   13
12   4   18   9   6   20   9   17   25   13   12   22   9   3   6   0   16   2   1   15
0   3   21   14   15   18   19   14   22   7   5   20   12   23   6   16   0   24   7   7
0   21   7   4   5   5   17   12   15   1   10   4   2   5   3   2   24   0   18   4
9   23   8   19   1   1   3   19   22   11   18   19   11   5   16   1   7   18   0   12
21   11   18   9   12   5   19   3   13   15   9   22   2   1   13   15   7   4   12   0

0   50   67   30   48   48   15   7   34   39   29   20   11   45   22   17   35   51   42   27
50   0   39   44   32   46   35   57   42   21   63   44   43   15   52   37   33   65   8   23
67   39   0   37   19   19   66   60   33   28   38   47   56   24   45   50   32   26   45   44
30   44   37   0   18   18   29   23   4   23   19   10   19   29   8   13   11   21   36   21
48   32   19   18   0   14   47   41   14   11   31   28   37   17   26   31   13   33   26   25
48   46   19   18   14   0   47   41   14   25   19   28   37   31   26   31   13   19   38   25
15   35   66   29   47   47   0   22   33   38   28   19   10   44   21   16   34   50   27   22
7   57   60   23   41   41   22   0   27   36   22   13   14   42   15   20   28   44   49   34
34   42   33   4   14   14   33   27   0   21   21   14   23   27   12   17   9   23   34   19
39   21   28   23   11   25   38   36   21   0   42   23   28   6   31   22   12   44   17   16
29   63   38   19   31   19   28   22   21   42   0   19   20   48   11   26   30   22   55   40
20   44   47   10   28   28   19   13   14   23   19   0   9   29   8   7   15   31   36   21
11   43   56   19   37   37   10   14   23   28   20   9   0   34   11   6   24   40   35   20
45   15   24   29   17   31   44   42   27   6   48   29   34   0   37   28   18   50   23   22
22   52   45   8   26   26   21   15   12   31   11   8   11   37   0   15   19   29   44   29
17   37   50   13   31   31   16   20   17   22   26   7   6   28   15   0   18   34   29   14
35   33   32   11   13   13   34   28   9   12   30   15   24   18   19   18   0   32   25   12
51   65   26   21   33   19   50   44   23   44   22   31   40   50   29   34   32   0   57   42
42   8   45   36   26   38   27   49   34   17   55   36   35   23   44   29   25   57   0   15
27   23   44   21   25   25   22   34   19   16   40   21   20   22   29   14   12   42   15   0
