10

0   23   0   24   16   20   14   16   3   20
23   0   15   2   8   2   25   18   17   19
0   15   0   12   18   6   21   15   4   10
24   2   12   0   20   1   20   9   5   25
16   8   18   20   0   17   25   6   20   9
20   2   6   1   17   0   24   12   17   8
14   25   21   20   25   24   0   1   10   8
16   18   15   9   6   12   1   0   25   24
3   17   4   5   20   17   10   25   0   17
20   19   10   25   9   8   8   24   17   0

0   44   32   36   41   37   20   29   52   7
44   0   50   66   19   53   28   31   16   39
32   50   0   16   61   5   22   19   34   27
36   66   16   0   77   19   38   35   50   29
41   19   61   77   0   64   39   42   27   48
37   53   5   19   64   0   25   22   37   32
20   28   22   38   39   25   0   9   32   15
29   31   19   35   42   22   9   0   23   24
52   16   34   50   27   37   32   23   0   47
7   39   27   29   48   32   15   24   47   0
