9

0   0   7   9   8   9   15   25   6
0   0   22   17   22   6   11   8   0
7   22   0   4   13   12   8   0   8
9   17   4   0   9   23   25   14   16
8   22   13   9   0   12   11   5   20
9   6   12   23   12   0   19   4   5
15   11   8   25   11   19   0   19   22
25   8   0   14   5   4   19   0   0
6   0   8   16   20   5   22   0   0

0   19   42   60   64   47   87   69   56
19   0   27   45   49   40   72   54   41
42   27   0   18   22   13   45   27   14
60   45   18   0   4   13   27   9   16
64   49   22   4   0   17   29   5   20
47   40   13   13   17   0   40   22   19
87   72   45   27   29   40   0   28   31
69   54   27   9   5   22   28   0   19
56   41   14   16   20   19   31   19   0
