16

0   10   15   21   2   15   15   8   12   23   24   19   5   17   7   25
10   0   24   22   14   15   15   21   9   10   6   18   9   0   10   9
15   24   0   13   4   1   10   10   1   16   25   8   15   13   4   5
21   22   13   0   12   7   5   23   25   0   13   4   1   5   14   19
2   14   4   12   0   10   11   25   14   5   20   24   14   24   11   6
15   15   1   7   10   0   11   3   8   21   19   15   11   0   24   3
15   15   10   5   11   11   0   25   9   24   14   25   1   13   25   0
8   21   10   23   25   3   25   0   16   5   2   22   18   12   14   11
12   9   1   25   14   8   9   16   0   17   4   16   19   2   6   4
23   10   16   0   5   21   24   5   17   0   3   0   11   19   6   16
24   6   25   13   20   19   14   2   4   3   0   4   21   16   11   4
19   18   8   4   24   15   25   22   16   0   4   0   4   13   4   8
5   9   15   1   14   11   1   18   19   11   21   4   0   19   21   4
17   0   13   5   24   0   13   12   2   19   16   13   19   0   4   17
7   10   4   14   11   24   25   14   6   6   11   4   21   4   0   23
25   9   5   19   6   3   0   11   4   16   4   8   4   17   23   0

0   30   1   14   49   40   25   16   49   42   4   21   41   13   16   41
30   0   29   36   29   12   45   28   19   12   32   31   11   35   20   11
1   29   0   13   48   39   24   15   48   41   5   20   40   12   15   40
14   36   13   0   55   46   11   8   55   48   18   7   47   1   22   47
49   29   48   55   0   41   64   47   16   33   45   50   38   54   33   32
40   12   39   46   41   0   55   38   25   8   44   41   3   45   32   9
25   45   24   11   64   55   0   17   64   57   29   14   56   12   31   56
16   28   15   8   47   38   17   0   47   40   20   5   39   7   14   39
49   19   48   55   16   25   64   47   0   17   45   50   22   54   33   16
42   12   41   48   33   8   57   40   17   0   38   43   5   47   26   1
4   32   5   18   45   44   29   20   45   38   0   25   41   17   12   37
21   31   20   7   50   41   14   5   50   43   25   0   42   8   17   42
41   11   40   47   38   3   56   39   22   5   41   42   0   46   29   6
13   35   12   1   54   45   12   7   54   47   17   8   46   0   21   46
16   20   15   22   33   32   31   14   33   26   12   17   29   21   0   25
41   11   40   47   32   9   56   39   16   1   37   42   6   46   25   0
