9

0   15   1   19   20   23   17   3   17
15   0   7   21   2   21   25   20   8
1   7   0   22   19   10   20   23   17
19   21   22   0   9   22   19   22   2
20   2   19   9   0   23   16   23   16
23   21   10   22   23   0   1   16   23
17   25   20   19   16   1   0   21   11
3   20   23   22   23   16   21   0   16
17   8   17   2   16   23   11   16   0

0   24   8   39   58   15   20   19   14
24   0   32   15   34   15   44   33   28
8   32   0   47   66   23   12   27   22
39   15   47   0   19   24   59   20   25
58   34   66   19   0   43   78   39   44
15   15   23   24   43   0   35   18   13
20   44   12   59   78   35   0   39   34
19   33   27   20   39   18   39   0   5
14   28   22   25   44   13   34   5   0
