8

0   5   7   25   11   4   17   15
5   0   4   8   21   7   25   18
7   4   0   5   19   20   10   23
25   8  5   0   13   2   4   10
11   21   19   13   0   2   6   21
4   7   20   2   2   0   6   15
17   25   10   4   6   6   0   12
15   18   23   10   21   15   12   0

0   41   36   49   47   18   10   37
41   0   7   18   32   41   31   22
36   7   0   25   39   36   26   29
49   18   25   0   14   49   39   28
47   32   39   14   0   45   51   24
18   41   36   49   45   0   22   21
10   31   26   39   51   22   0   41
37   22   29   28   24   21   41   0
