14

0   16   21   1   20   12   16   6   17   21   24   19   20   16
16   0   7   20   4   14   3   22   20   16   20   3   0   5
21   7   0   1   6   8   1   18   15   2   19   6   17   6
1   20   1   0   20   3   1   13   22   5   8   14   11   21
20   4   6   20   0   19   25   9   18   0   20   12   18   13
12   14   8   3   19   0   22   5   0   9   15   16   11   8
16   3   1   1   25   22   0   10   6   24   23   22   25   4
6   22   18   13   9   5   10   0   20   5   18   12   6   22
17   20   15   22   18   0   6   20   0   3   22   0   11   12
21   16   2   5   0   9   24   5   3   0   25   16   18   17
24   20   19   8   20   15   23   18   22   25   0   1   1   7
19   3   6   14   12   16   22   12   0   16   1   0   17   24
20   0   17   11   18   11   25   6   11   18   1   17   0   0
16   5   6   21   13   8   4   22   12   17   7   24   0   0

0   35   9   37   19   40   28   31   23   32   23   11   17   12
35   0   26   26   16   29   63   66   58   21   14   46   52   25
9   26   0   46   10   49   37   40   32   23   14   20   26   3
37   26   46   0   42   5   49   52   44   47   40   38   44   49
19   16   10   42   0   45   47   50   42   13   4   30   36   9
40   29   49   5   45   0   44   47   39   50   43   41   47   52
28   63   37   49   47   44   0   5   15   60   51   17   11   38
31   66   40   52   50   47   5   0   10   63   54   20   16   41
23   58   32   44   42   39   15   10   0   55   46   20   26   33
32   21   23   47   13   50   60   63   55   0   9   43   49   22
23   14   14   40   4   43   51   54   46   9   0   34   40   13
11   46   20   38   30   41   17   20   20   43   34   0   6   21
17   52   26   44   36   47   11   16   26   49   40   6   0   27
12   25   3   49   9   52   38   41   33   22   13   21   27   0
