10

0   21   25   4   15   21   10   19   20   21
21   0   8   10   10   12   2   15   9   15
25   8   0   7   20   5   2   13   10   17
4   10   7   0   21   12   6   7   4   24
15   10   20   21   0   15   19   9   22   6
21   12   5   12   15   0   16   19   12   19
10   2   2   6   19   16   0   15   25   1
19   15   13   7   9   19   15   0   14   12
20   9   10   4   22   12   25   14   0   15
21   15   17   24   6   19   1   12   15   0

0   16   37   56   31   9   5   19   14   17
16   0   21   40   15   7   11   25   14   17
37   21   0   19   10   28   32   24   23   38
56   40   19   0   25   47   51   39   42   57
31   15   10   25   0   22   26   34   23   32
9   7   28   47   22   0   4   20   9   16
5   11   32   51   26   4   0   16   9   20
19   25   24   39   34   20   16   0   11   36
14   14   23   42   23   9   9   11   0   25
17   17   38   57   32   16   20   36   25   0
