11

0   2   16   25   8   14   5   3   2   4   16
2   0   18   0   6   13   7   17   20   17   3
16   18   0   15   6   5   18   9   21   13   1
25   0   15   0   5   13   21   13   16   1   11
8   6   6   5   0   10   18   4   20   0   3
14   13   5   13   10   0   9   1   0   24   25
5   7   18   21   18   9   0   16   18   12   14
3   17   9   13   4   1   16   0   12   24   16
2   20   21   16   20   0   18   12   0   25   11
4   17   13   1   0   24   12   24   25   0   17
16   3   1   11   3   25   14   16   11   17   0

0   35   30   34   45   16   6   38   47   32   12
35   0   53   13   32   29   41   61   22   55   47
30   53   0   64   21   46   32   8   31   6   38
34   13   64   0   43   18   34   72   33   66   34
45   32   21   43   0   39   51   29   10   23   57
16   29   46   18   39   0   16   54   41   48   18
6   41   32   34   51   16   0   38   53   38   6
38   61   8   72   29   54   38   0   39   6   42
47   22   31   33   10   41   53   39   0   33   59
32   55   6   66   23   48   38   6   33   0   44
12   47   38   34   57   18   6   42   59   44   0
