20

0   18   8   20   14   19   7   16   16   9   13   18   7   9   19   13   4   18   8   22
18   0   24   9   9   5   12   7   3   9   1   20   13   4   16   21   11   17   7   21
8   24   0   7   3   9   15   0   17   19   16   14   3   5   16   12   0   21   8   12
20   9   7   0   10   12   6   13   11   1   5   11   17   22   14   6   12   5   20   2
14   9   3   10   0   6   4   13   15   11   25   19   10   14   16   22   2   15   16   18
19   5   9   12   6   0   20   9   16   23   6   15   19   19   6   2   25   23   2   10
7   12   15   6   4   20   0   16   13   13   16   2   3   16   12   13   21   13   11   7
16   7   0   13   13   9   16   0   5   22   5   17   15   10   23   4   10   15   8   6
16   3   17   11   15   16   13   5   0   5   7   24   12   3   18   1   24   4   0   16
9   9   19   1   11   23   13   22   5   0   0   9   7   8   23   2   25   17   10   25
13   1   16   5   25   6   16   5   7   0   0   14   3   11   0   12   4   9   16   2
18   20   14   11   19   15   2   17   24   9   14   0   22   4   19   22   3   11   4   23
7   13   3   17   10   19   3   15   12   7   3   22   0   15   15   0   25   14   18   17
9   4   5   22   14   19   16   10   3   8   11   4   15   0   25   16   1   2   19   3
19   16   16   14   16   6   12   23   18   23   0   19   15   25   0   9   22   24   14   0
13   21   12   6   22   2   13   4   1   2   12   22   0   16   9   0   9   13   9   2
4   11   0   12   2   25   21   10   24   25   4   3   25   1   22   9   0   24   17   19
18   17   21   5   15   23   13   15   4   17   9   11   14   2   24   13   24   0   25   21
8   7   8   20   16   2   11   8   0   10   16   4   18   19   14   9   17   25   0   24
22   21   12   2   18   10   7   6   16   25   2   23   17   3   0   2   19   21   24   0

0   9   36   59   47   41   9   27   36   47   44   37   46   34   40   52   39   35   24   29
9   0   27   56   44   32   16   36   43   44   35   28   55   43   37   49   36   32   33   38
36   27   0   43   37   7   43   63   70   61   10   13   82   70   38   36   27   19   60   65
59   56   43   0   12   38   50   46   37   28   41   34   49   43   19   7   20   26   43   34
47   44   37   12   0   42   38   34   33   24   45   38   45   33   7   5   10   30   31   28
41   32   7   38   42   0   48   68   75   66   3   6   87   75   43   37   32   12   65   70
9   16   43   50   38   48   0   20   27   38   51   44   39   27   31   43   30   36   17   22
27   36   63   46   34   68   20   0   23   34   71   64   19   7   27   39   36   56   3   12
36   43   70   37   33   75   27   23   0   11   78   71   16   20   32   38   43   63   20   11
47   44   61   28   24   66   38   34   11   0   69   62   27   31   23   29   34   54   31   22
44   35   10   41   45   3   51   71   78   69   0   7   90   78   46   40   35   15   68   73
37   28   13   34   38   6   44   64   71   62   7   0   83   71   39   33   28   8   61   66
46   55   82   49   45   87   39   19   16   27   90   83   0   12   44   50   55   75   22   17
34   43   70   43   33   75   27   7   20   31   78   71   12   0   32   38   43   63   10   9
40   37   38   19   7   43   31   27   32   23   46   39   44   32   0   12   11   31   24   27
52   49   36   7   5   37   43   39   38   29   40   33   50   38   12   0   13   25   36   33
39   36   27   20   10   32   30   36   43   34   35   28   55   43   11   13   0   20   33   38
35   32   19   26   30   12   36   56   63   54   15   8   75   63   31   25   20   0   53   58
24   33   60   43   31   65   17   3   20   31   68   61   22   10   24   36   33   53   0   9
29   38   65   34   28   70   22   12   11   22   73   66   17   9   27   33   38   58   9   0
