16

0   17   20   7   22   5   15   6   3   6   24   19   0   24   9   7
17   0   25   21   22   16   13   4   5   14   0   10   22   23   7   6
20   25   0   18   19   22   1   9   21   13   23   11   21   6   2   6
7   21   18   0   7   22   15   7   23   3   15   0   15   4   4   17
22   22   19   7   0   4   24   19   21   10   1   0   2   8   20   3
5   16   22   22   4   0   1   19   18   16   0   19   21   21   16   17
15   13   1   15   24   1   0   16   0   17   23   15   5   5   25   2
6   4   9   7   19   19   16   0   15   1   1   16   10   18   19   13
3   5   21   23   21   18   0   15   0   14   9   0   2   0   9   12
6   14   13   3   10   16   17   1   14   0   0   0   13   2   25   17
24   0   23   15   1   0   23   1   9   0   0   0   0   5   5   12
19   10   11   0   0   19   15   16   0   0   0   0   6   15   17   17
0   22   21   15   2   21   5   10   2   13   0   6   0   12   15   24
24   23   6   4   8   21   5   18   0   2   5   15   12   0   0   16
9   7   2   4   20   16   25   19   9   25   5   17   15   0   0   0
7   6   6   17   3   17   2   13   12   17   12   17   24   16   0   0

0   35   68   51   49   20   34   54   43   41   51   18   73   51   73   41
35   0   33   16   62   15   9   53   24   6   68   17   38   34   38   6
68   33   0   17   39   48   34   30   47   27   45   50   9   17   5   27
51   16   17   0   46   31   17   37   40   14   52   33   22   18   22   16
49   62   39   46   0   49   53   9   86   60   12   53   30   28   38   62
20   15   48   31   49   0   14   40   37   21   55   4   53   31   53   21
34   9   34   17   53   14   0   44   33   7   59   16   39   25   39   9
54   53   30   37   9   40   44   0   77   51   17   44   21   19   29   53
43   24   47   40   86   37   33   77   0   26   92   33   56   58   48   24
41   6   27   14   60   21   7   51   26   0   66   23   32   32   32   2
51   68   45   52   12   55   59   17   92   66   0   59   36   34   44   68
18   17   50   33   53   4   16   44   33   23   59   0   55   33   55   23
73   38   9   22   30   53   39   21   56   32   36   55   0   22   8   32
51   34   17   18   28   31   25   19   58   32   34   33   22   0   22   34
73   38   5   22   38   53   39   29   48   32   44   55   8   22   0   32
41   6   27   16   62   21   9   53   24   2   68   23   32   34   32   0
