10

0   4   8   10   17   7   7   4   0   7
4   0   12   22   3   18   19   5   23   12
8   12   0   22   9   11   24   9   12   24
10   22   22   0   6   13   6   5   8   7
17   3   9   6   0   12   11   19   24   6
7   18   11   13   12   0   9   11   13   12
7   19   24   6   11   9   0   14   21   8
4   5   9   5   19   11   14   0   6   21
0   23   12   8   24   13   21   6   0   24
7   12   24   7   6   12   8   21   24   0

0   32   58   34   17   44   36   7   42   16
32   0   26   44   49   40   4   31   52   26
58   26   0   38   75   20   22   57   32   44
34   44   38   0   37   24   44   27   8   18
17   49   75   37   0   61   53   18   43   31
44   40   20   24   61   0   40   43   18   30
36   4   22   44   53   40   0   35   52   26
7   31   57   27   18   43   35   0   35   13
42   52   32   8   43   18   52   35   0   26
16   26   44   18   31   30   26   13   26   0
