9

0   25   8   17   8   11   17   13   22
25   0   3   16   9   10   13   25   7
8   3   0   9   23   2   3   12   19
17   16   9   0   2   2   19   12   20
8   9   23   2   0   11   14   10   9
11   10   2   2   11   0   15   11   1
17   13   3   19   14   15   0   3   6
13   25   12   12   10   11   3   0   17
22   7   19   20   9   1   6   17   0

0   48   11   45   6   55   42   23   9
48   0   37   7   44   7   6   37   57
11   37   0   34   7   44   31   18   20
45   7   34   0   41   12   5   30   54
6   44   7   41   0   51   38   19   13
55   7   44   12   51   0   13   42   64
42   6   31   5   38   13   0   35   51
23   37   18   30   19   42   35   0   32
9   57   20   54   13   64   51   32   0
