20

0   5   24   8   8   2   24   21   20   3   0   25   13   6   9   10   2   0   11   15
5   0   19   14   0   8   17   17   10   17   3   23   18   4   11   9   12   21   12   12
24   19   0   3   7   22   15   10   12   16   17   14   2   9   3   12   0   24   21   20
8   14   3   0   9   18   8   5   10   14   8   4   24   14   20   16   5   15   9   19
8   0   7   9   0   17   3   13   3   7   19   25   5   3   11   9   5   2   6   14
2   8   22   18   17   0   19   22   10   6   5   1   6   23   17   9   20   1   20   24
24   17   15   8   3   19   0   19   5   11   22   19   7   4   17   0   2   7   16   5
21   17   10   5   13   22   19   0   11   3   4   23   0   14   6   14   14   1   14   0
20   10   12   10   3   10   5   11   0   13   3   13   16   24   13   18   5   10   6   3
3   17   16   14   7   6   11   3   13   0   14   21   4   13   14   15   10   7   21   13
0   3   17   8   19   5   22   4   3   14   0   12   4   12   1   0   12   22   11   18
25   23   14   4   25   1   19   23   13   21   12   0   17   18   12   11   11   3   21   11
13   18   2   24   5   6   7   0   16   4   4   17   0   18   10   23   22   8   7   25
6   4   9   14   3   23   4   14   24   13   12   18   18   0   0   14   12   19   4   22
9   11   3   20   11   17   17   6   13   14   1   12   10   0   0   7   19   18   0   10
10   9   12   16   9   9   0   14   18   15   0   11   23   14   7   0   5   9   2   19
2   12   0   5   5   20   2   14   5   10   12   11   22   12   19   5   0   23   15   19
0   21   24   15   2   1   7   1   10   7   22   3   8   19   18   9   23   0   11   3
11   12   21   9   6   20   16   14   6   21   11   21   7   4   0   2   15   11   0   7
15   12   20   19   14   24   5   0   3   13   18   11   25   22   10   19   19   3   7   0

0   7   42   61   35   63   31   60   10   35   11   36   34   24   53   26   42   45   45   64
7   0   35   58   42   60   28   57   11   32   8   33   27   21   50   33   39   52   42   61
42   35   0   45   77   57   49   60   46   41   35   38   8   56   39   68   62   87   17   52
61   58   45   0   42   12   30   15   51   26   50   25   37   37   8   41   19   42   28   7
35   42   77   42   0   44   28   41   31   36   42   39   69   21   38   9   23   18   60   45
63   60   57   12   44   0   32   3   53   28   52   27   49   39   18   43   21   30   40   5
31   28   49   30   28   32   0   29   21   8   20   11   41   7   22   19   13   38   32   33
60   57   60   15   41   3   29   0   50   25   49   24   52   36   21   40   18   27   43   8
10   11   46   51   31   53   21   50   0   25   11   26   38   14   43   22   32   41   35   54
35   32   41   26   36   28   8   25   25   0   24   3   33   15   18   27   21   46   24   29
11   8   35   50   42   52   20   49   11   24   0   25   27   21   42   33   31   52   34   53
36   33   38   25   39   27   11   24   26   3   25   0   30   18   17   30   24   49   21   28
34   27   8   37   69   49   41   52   38   33   27   30   0   48   31   60   54   79   19   44
24   21   56   37   21   39   7   36   14   15   21   18   48   0   29   12   18   31   39   40
53   50   39   8   38   18   22   21   43   18   42   17   31   29   0   33   23   48   22   13
26   33   68   41   9   43   19   40   22   27   33   30   60   12   33   0   22   19   51   44
42   39   62   19   23   21   13   18   32   21   31   24   54   18   23   22   0   25   45   22
45   52   87   42   18   30   38   27   41   46   52   49   79   31   48   19   25   0   70   35
45   42   17   28   60   40   32   43   35   24   34   21   19   39   22   51   45   70   0   35
64   61   52   7   45   5   33   8   54   29   53   28   44   40   13   44   22   35   35   0
