8

0   1   9   7   12   21   23   4
1   0   23   1   1   3   8   11
9   23   0   22   15   16   5   23
7   1   22   0   20   17   1   19
12   1   15   20   0   10   16   0
21   3   16   17   10   0   5   12
23   8   5   1   16   5   0   9
4   11   23   19   0   12   9   0

0   34   5   56   57   33   44   31
34   0   29   22   23   27   36   39
5   29   0   51   52   28   41   34
56   22   51   0   13   27   36   39
57   23   52   13   0   24   49   38
33   27   28   27   24   0   63   14
44   36   41   36   49   63   0   75
31   39   34   39   38   14   75   0
