10

0   6   12   25   7   7   18   15   21   25
6   0   4   11   10   25   9   10   2   17
12   4   0   0   13   10   19   23   2   20
25   11   0   0   20   17   9   9   15   2
7   10   13   20   0   5   1   10   8   22
7   25   10   17   5   0   24   3   15   16
18   9   19   9   1   24   0   1   13   3
15   10   23   9   10   3   1   0   25   18
21   2   2   15   8   15   13   25   0   9
25   17   20   2   22   16   3   18   9   0

0   13   58   36   7   61   20   75   39   25
13   0   45   47   18   48   31   62   30   36
58   45   0   62   59   19   38   17   19   35
36   47   62   0   29   65   24   79   43   27
7   18   59   29   0   62   21   76   40   24
61   48   19   65   62   0   41   14   22   38
20   31   38   24   21   41   0   55   19   5
75   62   17   79   76   14   55   0   36   52
39   30   19   43   40   22   19   36   0   16
25   36   35   27   24   38   5   52   16   0
