12

0   5   6   14   2   19   16   2   10   3   5   6
5   0   16   20   10   9   8   12   20   14   24   23
6   16   0   6   19   6   0   20   17   14   21   21
14   20   6   0   6   22   10   7   12   12   17   14
2   10   19   6   0   21   9   4   5   4   19   21
19   9   6   22   21   0   21   18   5   6   1   11
16   8   0   10   9   21   0   18   6   9   23   3
2   12   20   7   4   18   18   0   6   25   23   11
10   20   17   12   5   5   6   6   0   21   18   19
3   14   14   12   4   6   9   25   21   0   6   4
5   24   21   17   19   1   23   23   18   6   0   18
6   23   21   14   21   11   3   11   19   4   18   0

0   66   20   28   37   21   46   22   7   67   50   51
66   0   46   40   49   45   56   44   59   19   54   47
20   46   0   12   21   13   28   10   13   47   30   31
28   40   12   0   9   25   18   22   21   39   22   23
37   49   21   9   0   34   9   31   30   30   13   14
21   45   13   25   34   0   41   3   14   46   39   32
46   56   28   18   9   41   0   38   39   37   4   9
22   44   10   22   31   3   38   0   15   45   36   29
7   59   13   21   30   14   39   15   0   60   43   44
67   19   47   39   30   46   37   45   60   0   35   28
50   54   30   22   13   39   4   36   43   35   0   7
51   47   31   23   14   32   9   29   44   28   7   0
