11

0   24   6   4   7   11   24   17   13   0   23
24   0   18   18   12   4   17   11   11   14   21
6   18   0   11   22   1   16   0   12   18   7
4   18   11   0   12   10   20   2   18   18   10
7   12   22   12   0   9   7   21   11   9   25
11   4   1   10   9   0   7   18   11   12   12
24   17   16   20   7   7   0   11   16   25   3
17   11   0   2   21   18   11   0   12   19   0
13   11   12   18   11   11   16   12   0   21   1
0   14   18   18   9   12   25   19   21   0   2
23   21   7   10   25   12   3   0   1   2   0

0   21   42   20   13   13   24   31   46   25   30
21   0   25   27   30   28   33   24   61   40   45
42   25   0   22   51   39   18   45   44   45   58
20   27   22   0   29   17   6   43   34   23   36
13   30   51   29   0   26   33   18   59   38   43
13   28   39   17   26   0   21   44   33   12   19
24   33   18   6   33   21   0   49   28   27   40
31   24   45   43   18   44   49   0   77   56   61
46   61   44   34   59   33   28   77   0   21   16
25   40   45   23   38   12   27   56   21   0   13
30   45   58   36   43   19   40   61   16   13   0
