9

0   22   16   13   5   23   0   7   10
22   0   25   10   21   5   20   15   12
16   25   0   17   8   1   5   0   6
13   10   17   0   3   5   6   0   16
5   21   8   3   0   9   24   13   2
23   5   1   5   9   0   3   20   4
0   20   5   6   24   3   0   7   23
7   15   0   0   13   20   7   0   3
10   12   6   16   2   4   23   3   0

0   34   32   38   17   61   6   67   6
34   0   30   34   17   27   28   33   40
32   30   0   14   29   37   32   43   30
38   34   14   0   33   23   36   29   44
17   17   29   33   0   44   11   50   23
61   27   37   23   44   0   55   6   67
6   28   32   36   11   55   0   61   12
67   33   43   29   50   6   61   0   73
6   40   30   44   23   67   12   73   0
