16

0   22   1   22   5   18   21   21   8   11   4   15   8   20   23   23
22   0   25   11   6   18   23   24   14   12   24   15   11   4   6   16
1   25   0   17   14   18   10   10   23   16   22   2   22   3   12   1
22   11   17   0   21   19   4   15   5   10   24   12   19   23   16   11
5   6   14   21   0   24   24   14   1   3   24   24   16   11   22   0
18   18   18   19   24   0   3   13   21   11   13   12   17   4   3   24
21   23   10   4   24   3   0   7   16   9   24   0   10   1   22   20
21   24   10   15   14   13   7   0   5   1   16   6   8   18   6   16
8   14   23   5   1   21   16   5   0   1   12   21   17   6   2   19
11   12   16   10   3   11   9   1   1   0   5   23   5   21   6   16
4   24   22   24   24   13   24   16   12   5   0   7   20   1   2   16
15   15   2   12   24   12   0   6   21   23   7   0   22   22   5   16
8   11   22   19   16   17   10   8   17   5   20   22   0   14   21   16
20   4   3   23   11   4   1   18   6   21   1   22   14   0   7   23
23   6   12   16   22   3   22   6   2   6   2   5   21   7   0   15
23   16   1   11   0   24   20   16   19   16   16   16   16   23   15   0

0   21   5   33   34   66   46   37   33   21   31   29   29   12   40   31
21   0   24   54   55   87   67   58   30   42   34   50   26   33   43   38
5   24   0   30   31   63   43   34   28   22   36   26   24   15   35   26
33   54   30   0   23   33   13   46   28   36   50   6   30   29   21   16
34   55   31   23   0   32   30   23   37   13   27   17   33   22   44   35
66   87   63   33   32   0   20   35   61   45   55   37   63   54   44   49
46   67   43   13   30   20   0   53   41   43   57   17   43   36   24   29
37   58   34   46   23   35   53   0   60   16   26   40   56   25   67   58
33   30   28   28   37   61   41   60   0   50   64   24   4   43   17   12
21   42   22   36   13   45   43   16   50   0   14   30   46   9   57   48
31   34   36   50   27   55   57   26   64   14   0   44   60   21   71   62
29   50   26   6   17   37   17   40   24   30   44   0   26   23   27   18
29   26   24   30   33   63   43   56   4   46   60   26   0   39   19   14
12   33   15   29   22   54   36   25   43   9   21   23   39   0   50   41
40   43   35   21   44   44   24   67   17   57   71   27   19   50   0   9
31   38   26   16   35   49   29   58   12   48   62   18   14   41   9   0
