8

0   13   24   24   11   10   5   25
13   0   9   19   15   19   21   1
24   9   0   25   17   25   14   11
24   19   25   0   10   6   15   24
11   15   17   10   0   5   13   18
10   19   25   6   5   0   11   16
5   21   14   15   13   11   0   19
25   1   11   24   18   16   19   0

0   23   24   10   37   50   8   64
23   0   9   19   22   47   15   49
24   9   0   14   13   40   20   40
10   19   14   0   27   40   6   54
37   22   13   27   0   51   33   27
50   47   40   40   51   0   46   34
8   15   20   6   33   46   0   60
64   49   40   54   27   34   60   0
