15

0   23   12   2   25   23   25   8   23   14   6   22   16   2   5
23   0   1   14   2   25   10   22   17   12   21   16   12   9   0
12   1   0   0   25   16   0   10   23   7   10   10   19   24   20
2   14   0   0   2   25   14   0   17   4   15   7   13   14   15
25   2   25   2   0   12   25   21   24   19   12   0   11   17   0
23   25   16   25   12   0   18   23   16   3   19   23   2   17   12
25   10   0   14   25   18   0   18   19   0   23   21   7   1   7
8   22   10   0   21   23   18   0   3   8   21   2   6   18   12
23   17   23   17   24   16   19   3   0   20   15   2   22   25   25
14   12   7   4   19   3   0   8   20   0   1   21   13   3   22
6   21   10   15   12   19   23   21   15   1   0   2   9   1   5
22   16   10   7   0   23   21   2   2   21   2   0   1   18   25
16   12   19   13   11   2   7   6   22   13   9   1   0   13   15
2   9   24   14   17   17   1   18   25   3   1   18   13   0   6
5   0   20   15   0   12   7   12   25   22   5   25   15   6   0

0   79   71   75   50   45   53   70   49   30   84   50   34   21   58
79   0   8   4   49   34   26   21   34   49   11   29   45   58   21
71   8   0   4   49   26   18   21   34   41   13   21   37   50   13
75   4   4   0   49   30   22   21   34   45   11   25   41   54   17
50   49   49   49   0   47   49   28   83   20   38   60   50   41   54
45   34   26   30   47   0   8   25   36   31   39   13   11   24   13
53   26   18   22   49   8   0   21   34   33   31   11   19   32   5
70   21   21   21   28   25   21   0   55   40   14   32   36   49   26
49   34   34   34   83   36   34   55   0   67   45   23   33   42   29
30   49   41   45   20   31   33   40   67   0   54   44   34   25   38
84   11   13   11   38   39   31   14   45   54   0   34   50   63   26
50   29   21   25   60   13   11   32   23   44   34   0   16   29   8
34   45   37   41   50   11   19   36   33   34   50   16   0   13   24
21   58   50   54   41   24   32   49   42   25   63   29   13   0   37
58   21   13   17   54   13   5   26   29   38   26   8   24   37   0
