15

0   9   5   12   13   20   25   4   2   22   4   20   9   5   24
9   0   3   10   12   19   15   20   19   6   24   2   5   19   0
5   3   0   23   18   3   19   22   17   18   16   16   24   25   1
12   10   23   0   20   16   17   18   10   22   18   25   13   19   1
13   12   18   20   0   25   17   6   6   11   20   19   5   9   21
20   19   3   16   25   0   13   2   12   4   21   18   23   2   14
25   15   19   17   17   13   0   21   23   2   20   13   10   7   23
4   20   22   18   6   2   21   0   24   7   0   10   12   17   3
2   19   17   10   6   12   23   24   0   2   3   6   5   0   22
22   6   18   22   11   4   2   7   2   0   19   24   23   12   11
4   24   16   18   20   21   20   0   3   19   0   21   20   14   20
20   2   16   25   19   18   13   10   6   24   21   0   12   25   15
9   5   24   13   5   23   10   12   5   23   20   12   0   5   21
5   19   25   19   9   2   7   17   0   12   14   25   5   0   23
24   0   1   1   21   14   23   3   22   11   20   15   21   23   0

0   15   34   56   23   35   20   25   49   51   22   42   40   27   23
15   0   45   67   28   20   9   40   34   62   33   31   25   42   22
34   45   0   22   17   39   54   43   31   17   12   24   24   45   23
56   67   22   0   39   61   76   35   53   21   34   36   46   43   45
23   28   17   39   0   22   37   48   26   34   11   19   17   50   6
35   20   39   61   22   0   27   60   14   56   27   25   15   62   16
20   9   54   76   37   27   0   41   41   71   42   40   32   35   31
25   40   43   35   48   60   41   0   74   56   37   67   65   8   48
49   34   31   53   26   14   41   74   0   48   37   17   9   76   26
51   62   17   21   34   56   71   56   48   0   29   31   41   58   40
22   33   12   34   11   27   42   37   37   29   0   30   28   39   11
42   31   24   36   19   25   40   67   17   31   30   0   10   69   19
40   25   24   46   17   15   32   65   9   41   28   10   0   67   17
27   42   45   43   50   62   35   8   76   58   39   69   67   0   50
23   22   23   45   6   16   31   48   26   40   11   19   17   50   0
