11

0   10   17   14   1   6   0   23   9   15   8
10   0   17   23   13   18   25   7   23   24   18
17   17   0   23   5   3   14   6   21   12   12
14   23   23   0   22   8   16   7   1   16   12
1   13   5   22   0   12   1   8   24   6   5
6   18   3   8   12   0   13   16   19   1   2
0   25   14   16   1   13   0   11   25   22   17
23   7   6   7   8   16   11   0   18   10   8
9   23   21   1   24   19   25   18   0   7   25
15   24   12   16   6   1   22   10   7   0   0
8   18   12   12   5   2   17   8   25   0   0

0   48   51   16   42   54   32   56   73   25   52
48   0   39   32   36   10   46   50   67   29   18
51   39   0   61   25   29   49   13   28   32   21
16   32   61   0   58   38   48   72   89   41   40
42   36   25   58   0   28   24   14   31   17   26
54   10   29   38   28   0   52   40   57   35   8
32   46   49   48   24   52   0   36   41   17   50
56   50   13   72   14   40   36   0   17   31   32
73   67   28   89   31   57   41   17   0   48   49
25   29   32   41   17   35   17   31   48   0   33
52   18   21   40   26   8   50   32   49   33   0
