11

0   8   17   16   6   25   24   19   12   0   24
8   0   4   9   25   2   23   8   5   9   12
17   4   0   12   16   8   5   22   5   8   11
16   9   12   0   20   6   23   20   19   10   13
6   25   16   20   0   10   17   11   18   24   9
25   2   8   6   10   0   5   11   17   16   5
24   23   5   23   17   5   0   24   25   5   7
19   8   22   20   11   11   24   0   7   0   14
12   5   5   19   18   17   25   7   0   7   16
0   9   8   10   24   16   5   0   7   0   14
24   12   11   13   9   5   7   14   16   14   0

0   31   82   26   44   57   29   52   72   73   54
31   0   51   13   13   26   22   21   41   42   25
82   51   0   56   38   39   53   30   26   21   28
26   13   56   0   18   31   35   26   46   47   38
44   13   38   18   0   27   19   8   28   29   22
57   26   39   31   27   0   46   31   15   18   49
29   22   53   35   19   46   0   23   43   44   25
52   21   30   26   8   31   23   0   20   21   18
72   41   26   46   28   15   43   20   0   5   36
73   42   21   47   29   18   44   21   5   0   31
54   25   28   38   22   49   25   18   36   31   0
