10

0   16   6   8   25   8   10   9   23   1
16   0   0   24   12   25   9   16   21   22
6   0   0   6   25   5   21   8   25   15
8   24   6   0   15   3   23   24   2   13
25   12   25   15   0   24   11   5   10   3
8   25   5   3   24   0   13   20   24   16
10   9   21   23   11   13   0   15   11   24
9   16   8   24   5   20   15   0   18   21
23   21   25   2   10   24   11   18   0   19
1   22   15   13   3   16   24   21   19   0

0   36   18   22   14   36   24   19   45   9
36   0   54   26   30   8   48   17   9   39
18   54   0   28   24   54   42   37   63   15
22   26   28   0   8   26   46   9   35   13
14   30   24   8   0   30   38   13   39   9
36   8   54   26   30   0   56   17   9   39
24   48   42   46   38   56   0   43   51   33
19   17   37   9   13   17   43   0   26   22
45   9   63   35   39   9   51   26   0   48
9   39   15   13   9   39   33   22   48   0
