12

0   1   7   18   8   25   8   2   7   19   5   17
1   0   9   22   18   19   8   2   22   7   0   7
7   9   0   20   2   23   15   10   0   18   16   5
18   22   20   0   23   15   15   13   20   19   6   2
8   18   2   23   0   20   23   13   20   23   14   17
25   19   23   15   20   0   7   7   6   25   8   10
8   8   15   15   23   7   0   5   17   21   14   24
2   2   10   13   13   7   5   0   15   9   19   15
7   22   0   20   20   6   17   15   0   2   11   16
19   7   18   19   23   25   21   9   2   0   14   23
5   0   16   6   14   8   14   19   11   14   0   15
17   7   5   2   17   10   24   15   16   23   15   0

0   20   31   21   23   12   12   22   31   14   21   16
20   0   51   19   43   32   22   16   11   20   33   36
31   51   0   36   16   19   43   37   62   31   18   15
21   19   36   0   24   29   33   3   30   7   42   23
23   43   16   24   0   11   35   27   54   23   22   7
12   32   19   29   11   0   24   30   43   22   13   6
12   22   43   33   35   24   0   34   33   26   25   28
22   16   37   3   27   30   34   0   27   8   43   24
31   11   62   30   54   43   33   27   0   31   44   47
14   20   31   7   23   22   26   8   31   0   35   16
21   33   18   42   22   13   25   43   44   35   0   19
16   36   15   23   7   6   28   24   47   16   19   0
