12

0   5   8   17   13   13   16   9   3   4   4   4
5   0   5   19   9   12   5   16   19   14   1   6
8   5   0   20   15   1   23   22   7   0   7   21
17   19   20   0   11   18   4   2   14   23   11   19
13   9   15   11   0   21   22   23   8   25   17   13
13   12   1   18   21   0   5   23   1   22   14   15
16   5   23   4   22   5   0   22   0   0   8   14
9   16   22   2   23   23   22   0   7   17   13   12
3   19   7   14   8   1   0   7   0   18   22   10
4   14   0   23   25   22   0   17   18   0   10   16
4   1   7   11   17   14   8   13   22   10   0   8
4   6   21   19   13   15   14   12   10   16   8   0

0   31   47   40   62   35   13   23   52   19   40   25
31   0   36   39   51   24   24   10   41   34   9   36
47   36   0   31   15   12   34   46   5   28   43   28
40   39   31   0   22   33   27   39   28   21   48   15
62   51   15   22   0   27   49   61   10   43   58   37
35   24   12   33   27   0   22   34   17   28   31   30
13   24   34   27   49   22   0   16   39   10   33   12
23   10   46   39   61   34   16   0   51   26   17   28
52   41   5   28   10   17   39   51   0   33   48   27
19   34   28   21   43   28   10   26   33   0   43   6
40   9   43   48   58   31   33   17   48   43   0   45
25   36   28   15   37   30   12   28   27   6   45   0
