14

0   17   5   5   17   15   22   1   13   6   6   14   4   23
17   0   3   15   2   9   17   14   24   11   20   25   19   0
5   3   0   12   0   19   25   16   7   20   5   6   24   25
5   15   12   0   15   18   10   16   22   0   6   6   23   16
17   2   0   15   0   19   17   21   12   14   3   6   16   21
15   9   19   18   19   0   2   16   24   6   2   10   20   13
22   17   25   10   17   2   0   5   20   10   6   13   2   13
1   14   16   16   21   16   5   0   15   10   24   20   11   22
13   24   7   22   12   24   20   15   0   24   3   1   20   8
6   11   20   0   14   6   10   10   24   0   1   23   15   18
6   20   5   6   3   2   6   24   3   1   0   7   23   7
14   25   6   6   6   10   13   20   1   23   7   0   25   23
4   19   24   23   16   20   2   11   20   15   23   25   0   16
23   0   25   16   21   13   13   22   8   18   7   23   16   0

0   22   48   24   8   40   20   11   65   11   17   39   43   35
22   0   38   34   24   20   26   33   43   27   39   17   21   13
48   38   0   24   44   18   28   59   33   39   65   41   43   37
24   34   24   0   20   16   8   35   41   15   41   37   39   33
8   24   44   20   0   36   16   19   61   5   21   35   39   31
40   20   18   16   36   0   20   51   25   31   57   23   25   19
20   26   28   8   16   20   0   31   45   11   37   29   31   25
11   33   59   35   19   51   31   0   76   22   6   50   54   46
65   43   33   41   61   25   45   76   0   56   82   26   22   30
11   27   39   15   5   31   11   22   56   0   26   30   34   26
17   39   65   41   21   57   37   6   82   26   0   56   60   52
39   17   41   37   35   23   29   50   26   30   56   0   4   4
43   21   43   39   39   25   31   54   22   34   60   4   0   8
35   13   37   33   31   19   25   46   30   26   52   4   8   0
