9

0   12   5   8   2   19   7   25   12
12   0   12   17   15   5   7   6   4
5   12   0   11   16   19   0   14   5
8   17   11   0   0   22   17   6   23
2   15   16   0   0   22   7   12   12
19   5   19   22   22   0   16   21   11
7   7   0   17   7   16   0   24   10
25   6   14   6   12   21   24   0   14
12   4   5   23   12   11   10   14   0

0   35   25   32   23   4   38   38   11
35   0   60   59   12   31   29   29   24
25   60   0   31   48   29   57   43   36
32   59   31   0   47   36   56   42   43
23   12   48   47   0   19   29   29   20
4   31   29   36   19   0   42   42   7
38   29   57   56   29   42   0   14   49
38   29   43   42   29   42   14   0   49
11   24   36   43   20   7   49   49   0
