8

0   0   15   20   10   13   12   6
0   0   8   14   14   5   3   1
15   8   0   17   24   13   3   9
20   14   17   0   18   0   22   2
10   14   24   18   0   15   23   19
13   5   13   0   15   0   20   8
12   3   3   22   23   20   0   1
6   1   9   2   19   8   1   0

0   33   15   19   6   24   32   36
33   0   18   14   39   15   63   27
15   18   0   4   21   9   45   29
19   14   4   0   25   5   49   33
6   39   21   25   0   30   26   30
24   15   9   5   30   0   54   38
32   63   45   49   26   54   0   36
36   27   29   33   30   38   36   0
