9

0   10   1   17   9   20   10   15   24
10   0   6   22   16   4   25   2   7
1   6   0   10   4   20   9   2   16
17   22   10   0   13   3   20   1   9
9   16   4   13   0   14   7   16   21
20   4   20   3   14   0   10   15   16
10   25   9   20   7   10   0   5   12
15   2   2   1   16   15   5   0   16
24   7   16   9   21   16   12   16   0

0   28   50   20   18   39   15   27   13
28   0   78   14   46   27   33   7   17
50   78   0   64   34   51   45   77   63
20   14   64   0   32   19   19   15   25
18   46   34   32   0   49   25   45   31
39   27   51   19   49   0   24   34   44
15   33   45   19   25   24   0   32   20
27   7   77   15   45   34   32   0   14
13   17   63   25   31   44   20   14   0
