8

0   12   21   4   25   15   12   4
12   0   20   17   8   1   2   9
21   20   0   20   8   16   10   6
4   17   20   0   23   18   6   15
25   8   8   23   0   6   24   24
15   1   16   18   6   0   21   10
12   2   10   6   24   21   0   11
4   9   6   15   24   10   11   0

0   38   66   30   43   27   57   56
38   0   32   52   43   31   57   56
66   32   0   80   39   59   43   38
30   52   80   0   41   21   37   42
43   43   39   41   0   20   14   13
27   31   59   21   20   0   30   29
57   57   43   37   14   30   0   5
56   56   38   42   13   29   5   0
