9

0   1   14   3   20   20   24   21   8
1   0   19   20   22   24   16   7   22
14   19   0   4   22   0   16   4   24
3   20   4   0   10   19   25   10   0
20   22   22   10   0   1   24   10   20
20   24   0   19   1   0   20   14   2
24   16   16   25   24   20   0   3   5
21   7   4   10   10   14   3   0   16
8   22   24   0   20   2   5   16   0

0   11   20   43   37   37   7   40   46
11   0   19   42   26   26   14   39   45
20   19   0   23   39   39   27   20   26
43   42   23   0   22   22   50   3   21
37   26   39   22   0   0   40   19   43
37   26   39   22   0   0   40   19   43
7   14   27   50   40   40   0   47   53
40   39   20   3   19   19   47   0   24
46   45   26   21   43   43   53   24   0
